,predict,Main_Tweet_ID,Reply_id
0,n,1529794531897614337,1529797807695138816
1,y,1529578923331358722,1529584546102095872
2,n,1533912514131640321,1533933413840961536
3,n,1506565419313868802,1506566897428582406
4,y,1517175103682973697,1517182016730517509
5,y,1530457842645446657,1530460431847923712
6,uk,1510152850734788611,1510153877097795585
7,py,1496258773568176129,1496261201319411715
8,n,1529547853433020417,1529862891905622017
9,y,1503787818929123331,1503789918664941568
10,uk,1516536935514132482,1516540609137283073
11,pn,1522910344838008833,1522913701069795330
12,y,1508968628191838209,1508971720769609729
13,y,1531305341563985920,1531306452119433216
14,n,1522198827230535681,1522199105048653824
15,n,1497398833109561345,1497548678663446531
16,y,1529547853433020417,1531351894827966465
17,y,1524897301336031233,1524901956556312576
18,n,1509576610919313410,1509619229431156744
19,uk,1533518089362591744,1533520057254420482
20,pn,1494922774112051201,1494923021785735168
21,n,1524264379356700672,1524380824254230528
22,n,1534348856879718400,1534848839290585088
23,uk,1529794531897614337,1529799414138675200
24,py,1507066176920162304,1507101234322448391
25,n,1529502995615846401,1529507095980126209
26,uk,1532019243025420289,1532019763425296384
27,y,1501286835951079429,1501294315582091268
28,py,1512894569825792003,1512989101057839107
29,uk,1533518089362591744,1533519628982419457
30,n,1519855268414246913,1519961532016529409
31,n,1513305899804336134,1513516783038341131
32,n,1502970221941952516,1503010679787331588
33,y,1511367273264599045,1511370210162393096
34,y,1506393199459254278,1506422118279528449
35,y,1524695363856191489,1530562642812841986
36,n,1504463843573043202,1504471974537359367
37,n,1528328624385974272,1528385223108349952
38,py,1529502995615846401,1529504852543516678
39,n,1532101048373915649,1532151337890217985
40,uk,1525303905663475712,1525332714118819842
41,y,1527752294716022786,1527760860843753472
42,n,1506683109076611079,1506693122113380358
43,n,1529481046428897282,1529548051496435715
44,n,1523760308174864384,1523760580439396353
45,n,1515103202865262598,1515112081892290562
46,pn,1525910076845850624,1525912752350453771
47,py,1507066176920162304,1507159025468727297
48,n,1530564939634573312,1530565929217802241
49,uk,1506565419313868802,1506566221591982082
50,n,1502304099571843079,1502314251557355522
51,uk,1510326780141490183,1510337079523303431
52,n,1495523353121234951,1495538043943632898
53,y,1534989059772370947,1534993004196511770
54,n,1518543284599201794,1518552037272825856
55,y,1510152850734788611,1510153642980093954
56,n,1494922774112051201,1495142129957539847
57,y,1512107202903175171,1512107594692931587
58,n,1531337262595727366,1531339501238370305
59,n,1529547853433020417,1529640037444362242
60,n,1498957736117211141,1498964669289095169
61,uk,1496719894179688448,1496792664150315009
62,y,1506321879967088648,1506439540654977027
63,py,1500689103448387592,1500706871958818820
64,y,1498732622847135744,1498734165923094533
65,n,1527100721455243264,1527102721580584961
66,uk,1530916096551047168,1530917748045295617
67,y,1528029380122902528,1528168963934683136
68,uk,1533912514131640321,1533913835840602113
69,y,1501931285802979328,1501932278796066833
70,y,1526625806340038664,1526644118033682434
71,n,1529747637116841986,1529751842250530816
72,y,1517175103682973697,1517177992706990080
73,y,1524854468227092480,1524855628497162240
74,y,1524980408638705703,1524983553330597888
75,n,1530713760821911552,1530714091110678528
76,n,1526784085124780034,1526784205698523136
77,y,1518730408333963264,1518902589915598850
78,n,1517596143772860416,1517598734946738177
79,n,1533571194800177153,1533575629127417856
80,y,1508729666495938566,1508750483846221824
81,n,1518480805961646080,1518547063864184832
82,n,1494631992511668224,1494709099023552523
83,py,1526559173063974912,1526559451313938432
84,y,1509576610919313410,1509593331940036610
85,y,1500274044318281732,1500612504266944512
86,n,1522910344838008833,1523007715253321728
87,y,1518543284599201794,1518546377453801474
88,n,1510152850734788611,1510155585869787139
89,py,1522910344838008833,1522947372908691457
90,n,1504838813754998823,1504850463082037249
91,y,1511856370156556298,1512221215821377539
92,py,1509599807987499013,1509599999495180299
93,n,1494595698888744973,1494597700607782912
94,uk,1514657835245781000,1514715911139246087
95,py,1512894569825792003,1512908343328878600
96,n,1515913746954162176,1515930292837445633
97,y,1519890791715516417,1520007828433522688
98,y,1529620582026862592,1529647813310787584
99,n,1528081708808998912,1528094517055873027
100,y,1527318225196707842,1527329022585483271
101,py,1524170469334732800,1524170730539261954
102,py,1511873658788188161,1512068192872505354
103,y,1529747637116841986,1529760123031281664
104,uk,1496733327981568003,1496733641279377408
105,n,1506683109076611079,1506687543584210949
106,y,1513014027404087298,1513147247227289602
107,y,1506739855471960067,1506744706423660545
108,pn,1512806803486097408,1512836351372136450
109,n,1512420518732967940,1512420988117565442
110,n,1500817640981471235,1500833223303053317
111,n,1508968628191838209,1508985440749113351
112,n,1530564939634573312,1530567952491323392
113,uk,1505833481619787776,1505869216754413570
114,n,1509576610919313410,1509604830238543901
115,n,1522566510627246080,1522636908643422214
116,uk,1532769479826059265,1533126817086951424
117,py,1534840680257921024,1534888066497773568
118,n,1519855268414246913,1519856414134784000
119,n,1528917532337487872,1528924843969855495
120,uk,1513977866748317696,1514049085686403077
121,y,1495062125814980610,1495062387975761927
122,y,1501594196997808130,1501783660474732545
123,y,1511129533516288009,1511136318952255489
124,y,1527752294716022786,1527809670114684930
