,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold_1,gold_2,gold_adj
0,1506683109076611079,1506695928333451268,new,"All we want is a government that cares about people. All of the people. It’s not complicated, is it?", surely it's not too much to ask either,n,n,n
1,1505591204783734785,1505592841199931393,new,"Ladies, if a man gives you a Family heirloom ring but y’all break up, do you give it back?"," yes , unless we have kids . then they would get it.",y,y,y
2,1392519214406242305,1392520890072530945,old,Do you support taxpayer cash for illegal aliens?, the dependency on money is going to kill us all.,n,n,n
3,1495840803209756672,1495855947453186050,new,Do you and your partner discuss voting intentions with each other?," yes .
election can’t come soon enough .",y,y,y
4,1499100529301110786,1499112992939515905,new,Is it poor form to throw a bag of dog poop in a random house’s outside trash can if you happen to pass directly by it?, i just hold the bag until i get back to my trash can. potential problem solved.,y,y,y
5,1401225105540272128,1401443222103154689,old,Question. Do you think we'll see the back of Covid during your lifetime?," god willing, covid will become another harmless virus, but it will remain with us.",n,y,y
6,1402603886897242112,1402604089536622594,old,Is it enough?, no either bigger fines or next season a points reduction to start,n,n,n
7,1494724608313933829,1494756183542009858,new,Do you even have a cat if you haven’t searched “does my cat love me”?," i know my cat loves me, who wouldn't love me",uk,y,y
8,1506834667936391173,1506838351927660548,new,Is it weird to buy my sister a massage?, hey theo it’s a little strange but you can always buy me one instead ☺️,y,y,y
9,1496618534369169410,1496639951915651075,new,Do you believe in love at first sight?," na puna everybody dey go for,nothing more",n,uk,uk
10,1502304099571843079,1502352122402197510,new,Do you think a ban on crypto would stop you using it?," no, as long as others would transact in it, i wouldn't stop.",n,n,n
11,1500989413559611401,1501042350163783680,new,I’m curious. Do you think every state should accept mail-in ballots in every election?," i think all options, including online voting, should be available.",y,y,y
12,1498732622847135744,1498733633129037830,new,Desi people - do you ever tear up your roti and put it in your shorba and eat it with a fork?, i think my mum would have backhanded me if i did...,n,n,n
13,1506679176744652804,1506679724101320713,new,"Chiefs fans, do you want to talk about it?", if you wasn't a cowboys fan these tweets of yours would trigger me so unbelievably much,y,y,y
14,1496258773568176129,1496261681592287243,new,Do you consider lying by omission Ie. Allowing someone to think something you know is untrue the same as lying?," if lying is the same as minding my black-ass business, then call me mr. fib.",pn,n,n
15,1393654652722368514,1393960026977538049,old,Is it controversial to think modern football is a better watch than modern hurling?, it’s not controversial it’s just wrong,n,n,n
16,1397076480824418310,1397217448009637898,old,...Do you die a lot in dark souls?, do yourself a favor and dont do that.,n,uk,n
17,1393577066193473536,1393577282657083396,old,Do you and your close friends have eachother’s locations on?, i don’t have any close friends let alone friends😢,n,n,n
18,1388697772862459904,1388911442313850886,old,"if someone from a place like gallery furniture delivers a mattress, do you tip the delivery guys?", i always have. doesn’t have to be a extravagant but i show my appreciation.,y,y,y
19,1383837827465506821,1383839075199709191,old,Do you use your phone without case ?, ha mey with put cover use kartha hu bahut garmi so y to put clothes to our phone,uk,uk,uk
20,1502748767921090560,1502749694069510145,new,Do you eat the olive in a martini?, i'm only getting a martini to eat the olive tbh,y,y,y
21,1393189626836291589,1393190262617354241,old,Do you find honesty holds you back in life?, people should never ask me for my opinion if they are not prepared to hear it.,y,uk,y
22,1405289153571426304,1405296307049308166,old,"If a doge barks on the moon and no one is around to hear it, does it make a sound?", you can not hear on the moon coz no air,n,n,n
23,1507889736362475522,1508055986069811204,new,Is it too much to ask the coaches to wear suits again?," i believe it is.
coaches are there to coach,its not a fashion show.",y,y,y
24,1503787818929123331,1503789700082978824,new,Anyone still have a console from their childhood and does it still work?," still have my sega genesis, and yes it still does.",y,y,y
25,1382068369428471811,1382068580498481155,old,Do you believe in lucK ?," yes
it happens 
that’s why it is good to be good",y,y,y
26,1507066176920162304,1507071042568671245,new,is it legal to drive with ur titties out?," in some states yes. i mean, i don't know.",y,py,py
27,1497519871462363142,1497641423117570051,new,Do you have the courage to be disliked?," it doesn't matter if people dislike you, you got to do what's right for all",y,y,y
28,1505833481619787776,1505848425715220483,new,"Do You find that even though so much is happening in and around our lives, it still feels like ground hog day?", monday is sunday which was saturday! every day seems to just repeat,uk,y,y
29,1390673386305695745,1390694514990456834,old,"Do you ever just, like, fill in the gaps?", i am genuinely impressed by your ability to come up with jokes like these,uk,n,n
30,1500989413559611401,1500989721224359939,new,I’m curious. Do you think every state should accept mail-in ballots in every election?, yes. every voter should receive a ballot by mail. like in oregon.,y,y,y
31,1408719900902838274,1408721562749054984,old,Do you preheat the oven before you bang something in?, just pop it on while preparing everything...  one of lifes easier things to do properly :),y,n,y
32,1397076480824418310,1397077450715238401,old,...Do you die a lot in dark souls?, everything is a mistake in dark souls. there are only degrees of error to make.,y,y,y
33,1401225105540272128,1401491779770322950,old,Question. Do you think we'll see the back of Covid during your lifetime?," not rid of it, it will always be here but it will become insignificant.",y,y,y
34,1498732622847135744,1498733183663316997,new,Desi people - do you ever tear up your roti and put it in your shorba and eat it with a fork?, yep. give it a good mix up with the fingers first.,y,y,y
35,1505591204783734785,1505601255640551428,new,"Ladies, if a man gives you a Family heirloom ring but y’all break up, do you give it back?", hell no sometimes yes to show pitty but no,n,pn,pn
36,1495840803209756672,1495852928972001280,new,Do you and your partner discuss voting intentions with each other?, yes but hardly need to. running political commentary here.,y,y,y
37,1402787769395548160,1402788697347530755,old,Do you think it is rude to say to somebody you would look better if you lost weight?," not only rude, but potentially lethal depending on who you say it to!",y,y,y
38,1497519871462363142,1497564370791927812,new,Do you have the courage to be disliked?," do we have any option - irrespective of courage , we have to face it.",uk,uk,uk
39,1386187626051342337,1386299404684906501,old,Lawyers: is it legal to make attending a racially segregated meeting a condition of employment?, probably not. but employees will need to take legal action against employer.,pn,pn,pn
40,1500540062915825665,1500540829307490304,new,Is it reassuring to know there are twats everywhere!?, twats and c**ts abound all over. we are surrounded.,y,n,n
41,1381733726221139971,1381806178053853188,old,do you ever realize that some of your parents still do it?, not mine! yay divorce!! ❤️,n,n,n
42,1499100529301110786,1499104440892243971,new,Is it poor form to throw a bag of dog poop in a random house’s outside trash can if you happen to pass directly by it?, no- its a trash can. but gotta be tied properly.,n,n,n
43,1401225105540272128,1401245074718068739,old,Question. Do you think we'll see the back of Covid during your lifetime?, the most depressing poll i’ve had the misfortune to ever see on twitter.,uk,uk,uk
44,1498732622847135744,1498739464864161798,new,Desi people - do you ever tear up your roti and put it in your shorba and eat it with a fork?, i put shorba on a crepe today and ate it like that but otherwise no,n,py,n
45,1500989413559611401,1501008121115860996,new,I’m curious. Do you think every state should accept mail-in ballots in every election?, every state should have same rules & have election day as work holiday,y,y,y
46,1499019801351663624,1499022438457384964,new,Do you think a joint account as husband and wife makes sense ?, yes. but both should also have a personal account,y,y,y
47,1501594196997808130,1501782286861168642,new,Do you subscribe to Disney Plus?," i view it from others , but don't self subscribe",n,n,n
48,1498846242951950336,1498847138016419846,new,Do you feel rescued?, kinda. just nice to have adults running the country in the executive branch.,py,y,py
49,1404133822300622853,1404133992601956355,old,Do you watch sports shows on tv?, only on youtube and not often cause the be talking bullshit it’s annoying,py,py,py
50,1506565419313868802,1506580006654431232,new,"My name regularly gets autocorrected to ""Satanism"". Get a surprising number of messages addressed to it. Do you have an autocorrect hell?", my own name autocorrects to saaaaaaaame. bare minimum enthusiasm is pretty on brand for me 😂,y,y,y
51,1385243074096291841,1385277369972412418,old,Do you wanna play with me?," bro what's your switch friend code, ill play mario kart or smash brothers",y,y,y
52,1397397112401264643,1397420366356746240,old,I never watched Game of Thrones….is it good?, very good show. worth a watch. give it 2 or 3 episodes.,y,y,y
53,1388697772862459904,1388836235108626437,old,"if someone from a place like gallery furniture delivers a mattress, do you tip the delivery guys?"," if they help me put it on my bed frame, yes",py,py,py
54,1401579436244226053,1401591570143514624,old,Do you guys wash your jeans every time you wear them?," no, maybe every few times if they’re not dirty",n,pn,n
55,1505833481619787776,1505931285067350017,new,"Do You find that even though so much is happening in and around our lives, it still feels like ground hog day?", only for the last 728 days of wfh,y,py,y
56,1388697772862459904,1388700599038926848,old,"if someone from a place like gallery furniture delivers a mattress, do you tip the delivery guys?", if they bring it in and put it on your bed for you --- yes.,py,y,py
57,1389327056517820417,1389360326999613440,old,You ever have so much work to do you ain’t got no work to do?, it’s a problem i want to have,n,n,n
58,1402787769395548160,1402819587356479488,old,Do you think it is rude to say to somebody you would look better if you lost weight?, if you know then well enough then yes i guess,y,py,py
59,1402939403920560129,1402946623122993160,old,My boss was surprised I can drive a manual. Is it that unusual for females to be able to drive manuals?, nope but it's  not unusual  for men to stupid 😁,n,n,n
60,1503787818929123331,1503788094566318082,new,Anyone still have a console from their childhood and does it still work?, i have my gameboy advance and still regularly play it,y,y,y
61,1501181033416474624,1501182030993887236,new,💎🤲 Do you have diamond hands?," please as soon as possuble to list to shiba, please",uk,y,y
62,1397076480824418310,1397081041848860673,old,...Do you die a lot in dark souls?, you can't back out now a lot of people will be disappointed 🥺🥺🥺,y,y,y
63,1391360390429294593,1391373425126428674,old,Do you use Rokfin?, never heard of it. had to look it up.,n,n,n
64,1401225105540272128,1401228811153428482,old,Question. Do you think we'll see the back of Covid during your lifetime?," it's going to be like the flu, every year it will come back around.",y,n,n
65,1384812913144238080,1385083604880011268,old,Is it animal cruelty to keep a pet you can’t feed and take care properly?," yes, it definitely is cruelty to keep such animal.🤦🏽‍♂️🤷🏽‍♂️",y,y,y
66,1498623152720654336,1498628032210243586,new,Do you believe in quad?, without any doubt!! there needs to be more integration between quad nations,y,y,y
67,1402679421832630278,1402679761600712704,old,Do you like your real name?," not rly, i tell people my middle name instead",n,n,n
68,1384162484345479171,1384162977562071058,old,In a relationship.. do you fart in front of each other?, get them in the face and it's 10 points 😂,y,y,y
69,1506683109076611079,1506686789293072385,new,"All we want is a government that cares about people. All of the people. It’s not complicated, is it?", won't happen while all parties are all tory..... and corrupt,y,y,y
70,1393654652722368514,1393872015245914115,old,Is it controversial to think modern football is a better watch than modern hurling?, ooh very controversial. de hurling snobs won't like that...😉,y,y,y
71,1505833481619787776,1505844720416735234,new,"Do You find that even though so much is happening in and around our lives, it still feels like ground hog day?"," yes , i try to stay positive no matter what 🥰",y,y,y
72,1381730321004175361,1382098148831547398,old,Is it illegal to hang air fresheners from a car's rear view mirror?, only if they're looking for an excuse to pull you over,py,py,py
73,1401225105540272128,1401243730066259968,old,Question. Do you think we'll see the back of Covid during your lifetime?, i didn’t have the competence to answer that binary.,uk,uk,uk
74,1500989413559611401,1501005866761342983,new,I’m curious. Do you think every state should accept mail-in ballots in every election?, yes & everyone should automatically be registered to vote!,y,y,y
75,1399650555773980677,1399755966355099649,old,Do you think that inmates should get access to free university education while in prison?, they can hardly get a job and pay for it.,n,y,y
76,1505833481619787776,1505897571339886596,new,"Do You find that even though so much is happening in and around our lives, it still feels like ground hog day?", if you ask the same question tomorrow then yes 😂😂😂,y,py,py
77,1382523916795604995,1382524666359734273,old,do you guys like mailing lists?, i never read mailing lists 😬 but texts with important info i always see,n,n,n
78,1394707604186746881,1394708159244210179,old,Do you still want to buy the dip?, i think i'll go for the depth,n,uk,uk
79,1401579436244226053,1401598665991544838,old,Do you guys wash your jeans every time you wear them?, naw. usually go 3-4 days if i don’t get them super dirty.,n,n,n
80,1381733726221139971,1381902858631663621,old,do you ever realize that some of your parents still do it?," as a parent, i can confirm this is true 👌🏻👈🏻",y,y,y
81,1500989413559611401,1500991832959987718,new,I’m curious. Do you think every state should accept mail-in ballots in every election?, yes as long as they don’t do like texas did and reject 30%,py,py,py
82,1507889736362475522,1507918955213692930,new,Is it too much to ask the coaches to wear suits again?, that's something an old person would say.,py,py,py
83,1495784385047666689,1495834500370419712,new,Do you have a product idea you want to build in the future?," yes, just waiting for the existing patent to expire",y,y,y
84,1405289153571426304,1405389897276526592,old,"If a doge barks on the moon and no one is around to hear it, does it make a sound?"," there is a minimal atmosphere, it would have to be a loud woof.",py,y,py
85,1381983703841267717,1382013862937960448,old,Is it ok to put peanut butter on rosemary focaccia bread slices?," on anything is good, try it with celery sticks 😊❤️",y,y,y
86,1390113854621982730,1390121167839760387,old,Love that my new welcome greeting to visitors at my house is “Do you want to see my machetes?," be funnier if you said ""say hello to my little friends"" like al pacino in scarface😂",uk,py,uk
87,1402761289173176329,1402765636208627713,old,Do you pay attention to wrestling ratings?, nope but i don’t but triple hhh would be a better owner,n,n,n
88,1398380648507785226,1398398120900366338,old,Do you exist if no one wants to see you in person?, sisters - when you don't see me,uk,y,uk
89,1402787769395548160,1402793860158402562,old,Do you think it is rude to say to somebody you would look better if you lost weight?, i feel like it’s ok to tell the truth if somebody asks.,py,pn,pn
90,1395126197714030594,1395140430573019141,old,Do you ever...forget?, i can't remember what i've forgotten,y,y,y
91,1495048962545487881,1495049984554766337,new,Do you have a backup plan if things don't work out with your music career?, nah! it has to work!!,n,n,n
92,1384162484345479171,1384179324958363658,old,In a relationship.. do you fart in front of each other?, after 7 years i do now yep!,y,y,y
93,1496618534369169410,1496620415292166149,new,Do you believe in love at first sight?," yes ooo
na him make me dey fall for the wrong people 🙄🙄🙄🙄🙄",y,y,y
94,1402787769395548160,1402788408322400259,old,Do you think it is rude to say to somebody you would look better if you lost weight?, yes. they already know that. don't shame them.,y,y,y
95,1383196573903904768,1383197352178032643,old,Do you drive really slow in the passing lane and use no other lane?, i tend to stay in the passing lane. 😂😂😂,n,y,y
96,1494724608313933829,1495363069169524741,new,Do you even have a cat if you haven’t searched “does my cat love me”?, yes i do have a cat and my cat can do with me,uk,y,uk
97,1499019801351663624,1499021939553284096,new,Do you think a joint account as husband and wife makes sense ?," oh yeah, you all go know what's going on😂 maybe e go reduce some cheatings",y,y,y
98,1500540062915825665,1500547664693411841,new,Is it reassuring to know there are twats everywhere!?, twats twats everywhere and not one will think.,y,y,y
99,1406628758195478534,1408550309631348741,old,Do you shout “FORE” if your golf ball is heading towards people?, how do 3% disagree unless of course they are complete cocks !,y,y,y
100,1494922774112051201,1494982593300905986,new,Do you see now that it wasn’t about the bloody masks?, but loads are still wearing them -outside too 🤦‍♀️,y,py,y
101,1506739855471960067,1506744580548530178,new,Tell the truth ..do you ever miss your X ?, the one i know i let go. that i shouldn’t have.,y,y,y
102,1402603886897242112,1402604334207045638,old,Is it enough?, remove all owners of the club..especially kroenke..#kroenkeout,n,n,n
103,1402787769395548160,1402788150150266880,old,Do you think it is rude to say to somebody you would look better if you lost weight?," yah, don't ever do that! it's a definite #no",y,y,y
104,1392519214406242305,1392519744339816448,old,Do you support taxpayer cash for illegal aliens?, when there are plenty of there own citizens struggling to get by this is unconscionable.,n,y,y
105,1506679176744652804,1506679285867859970,new,"Chiefs fans, do you want to talk about it?", when the off-season vid coming i need to see it,y,uk,y
106,1391736776180387844,1391756213797355521,old,"Do you see a correlation between grammar, usage and ideology?", yes sir! right-wing and grammar don't go together!,n,y,n
107,1393771213210537993,1393838901236846597,old,Is it possible to develop agoraphobia?," yes, and there's a lot of risk factors that may contribute to its development.",y,y,y
108,1500540062915825665,1500542379631198211,new,Is it reassuring to know there are twats everywhere!?, twat's the way (i'm only trying to help you).,y,y,y
109,1501931285802979328,1502078454539374616,new,Do you poop at work?," boss makes a dollar, i make a dime… that why i poop on company time!",y,y,y
110,1505833481619787776,1505948369264521223,new,"Do You find that even though so much is happening in and around our lives, it still feels like ground hog day?"," yes, it’s really hard to think to the future",y,y,y
111,1497519871462363142,1497522130811977730,new,Do you have the courage to be disliked?," stop trying to be liked by everybody , you don’t even like everybody.",y,y,y
112,1393577066193473536,1393577290244575239,old,Do you and your close friends have eachother’s locations on?, i would if i had some :(,n,n,n
113,1499100529301110786,1499131248844939265,new,Is it poor form to throw a bag of dog poop in a random house’s outside trash can if you happen to pass directly by it?," absolutely not, i think that’s all good.",n,n,n
114,1389327056517820417,1389439553845477377,old,You ever have so much work to do you ain’t got no work to do?, 😳😂ch'ile don't make me drop my cupcake!!!,uk,y,uk
115,1393654652722368514,1393656665543696387,old,Is it controversial to think modern football is a better watch than modern hurling?, you actually don’t know what you’re talking about.,uk,y,uk
116,1502304099571843079,1502305666131763205,new,Do you think a ban on crypto would stop you using it?, people will finally see the importance of top-quality privacy-preserving coins.,n,n,n
117,1495593777020514305,1495780300265345027,new,Do you mix your laundry with your significant other?," ours our separate, but he does the laundry and i fold & put away.",n,n,n
118,1399650555773980677,1400501874667581443,old,Do you think that inmates should get access to free university education while in prison?," if our intent is to rehabilitate, we should absolutely offer higher education to inmates.",py,py,py
119,1508792874569244674,1508938618768920580,new,Do you hold hands with your friends?, no because i don't have friends.,n,n,n
120,1500540062915825665,1500566307774869514,new,Is it reassuring to know there are twats everywhere!?, we could do with a few less if i’m being honest….,n,pn,n
121,1402761289173176329,1402764713847578624,old,Do you pay attention to wrestling ratings?, no. i watch cause i enjoy watching.,n,n,n
122,1381733726221139971,1381744742128574469,old,do you ever realize that some of your parents still do it?, what’s the point of saying something like this,y,uk,uk
123,1381983703841267717,1381984993254211588,old,Is it ok to put peanut butter on rosemary focaccia bread slices?, let me know how it turns out.,uk,uk,uk
124,1494922774112051201,1495003500929077252,new,Do you see now that it wasn’t about the bloody masks?, not likely. most people refuse to acknowledge they were wrong &/ deceived.,y,n,y
125,1393577066193473536,1393577389964369924,old,Do you and your close friends have eachother’s locations on?, only on snapchat but that’s only when we can be asked to turn on our locations,py,py,py
126,1495062125814980610,1495062328995418112,new,"Question for Sia fans, do you use Discord?", we use all the platforms that exist just give us something,y,y,y
127,1503299224737398785,1503310436120285185,new,"If u fall asleep during a film , is it a bad film?"," its a bad, boring film. my last sleepathon was no time to die 💤 😴 .",y,y,y
128,1402787769395548160,1402791041363759108,old,Do you think it is rude to say to somebody you would look better if you lost weight?, yes!!! everyone knows that no one needs to tell you!,y,y,y
129,1496258773568176129,1496260171038969856,new,Do you consider lying by omission Ie. Allowing someone to think something you know is untrue the same as lying?, i'm honest is the best way to be,y,y,y
130,1397076480824418310,1397087620945960960,old,...Do you die a lot in dark souls?," there is literally no way to game over, you'll be fine",y,y,y
131,1388697772862459904,1388835914244235270,old,"if someone from a place like gallery furniture delivers a mattress, do you tip the delivery guys?", here you don't but im.n i t sure about other places..,uk,n,n
132,1401579436244226053,1401582505602555920,old,Do you guys wash your jeans every time you wear them?, no. i’ve heard you’re not supposed to 😁,n,n,n
133,1506834667936391173,1506834805777907713,new,Is it weird to buy my sister a massage?, i give my sister massages so you do you pal 🤷🏼‍♂️,n,n,n
134,1402761289173176329,1402761752450715655,old,Do you pay attention to wrestling ratings?, only when tweeted... but they don't affect me.,py,py,py
135,1404147131871420416,1404177575258345485,old,Do you guys like the music video?, it was sick i love it. lol,y,y,y
136,1394707604186746881,1394710318367092736,old,Do you still want to buy the dip?, i'm never logging in until next yr. i don't want to have bp,n,uk,n
137,1388697772862459904,1388837741740310537,old,"if someone from a place like gallery furniture delivers a mattress, do you tip the delivery guys?"," your choice, i do if they do something extra for me like move a dresser.",py,py,py
138,1505976111242559488,1505979912347394055,new,Do you want the No Build LTM to become a permanent selectable mode in the future (with normal build modes still being here)?, let's all agree that we need this type of ltm and for it not to be limited,y,y,y
139,1494724608313933829,1495046206824853509,new,Do you even have a cat if you haven’t searched “does my cat love me”?," three cats. i have three cats, and it has never crossed my mind to do so",n,y,y
140,1494922774112051201,1494925902823583746,new,Do you see now that it wasn’t about the bloody masks?, only half the country see’s - just like always. and there lies the problem…….,y,y,y
141,1495048962545487881,1495063326761619463,new,Do you have a backup plan if things don't work out with your music career?, that's why i'm planning to open a mall,y,y,y
142,1393654652722368514,1394001973809197059,old,Is it controversial to think modern football is a better watch than modern hurling?, football is a terrible game to watch.,y,y,y
143,1390271989127041029,1390272109448863751,old,Is it time to stop falling off of stuff in rasslin?, no. should fall off more stuff.,n,n,n
144,1386187626051342337,1386279873619050497,old,Lawyers: is it legal to make attending a racially segregated meeting a condition of employment?, sounds like something micheal scott from the office would do.,uk,n,n
145,1503299224737398785,1503317039645089792,new,"If u fall asleep during a film , is it a bad film?"," nope, you might actually be tired.",n,n,n
146,1406628758195478534,1406629865650941953,old,Do you shout “FORE” if your golf ball is heading towards people?, even when it goes on another hole and you cant see if anyone is there,n,y,y
147,1384114308745863170,1384467243572940810,old,"Is it possible for the the players to stand together and say, if the club breaks away from the super league we won’t play!! ?"," you can strike in any other occupation, so why not. 👍",y,py,y
148,1500989413559611401,1500990203028283393,new,I’m curious. Do you think every state should accept mail-in ballots in every election?, absolutely. it works well and no one can harass you at the polls.,y,y,y
149,1390673386305695745,1390673538307219456,old,"Do you ever just, like, fill in the gaps?"," you're supposed to mind the gaps, not fill them",n,pn,n
150,1407141470876938243,1407415172529020935,old,Do you guys remember typing class?, never understood why the quick brown fox didn’t just eat the lazy dog,y,y,y
151,1503787818929123331,1503788159242489857,new,Anyone still have a console from their childhood and does it still work?," n64 and gamecube, ps2 most likely too but need to plug it in and see",y,y,y
152,1498957736117211141,1498959213892153346,new,Do you still trust anything the media says?," the media represents the voices of many people, ofcourse one can't trust everyone.",n,n,n
153,1395126197714030594,1395130477506404357,old,Do you ever...forget?, i dont even know what it’s like to not forget,y,y,y
154,1506739855471960067,1506788468743098370,new,Tell the truth ..do you ever miss your X ?, hell nah. they made their bed now lay in it. i’m doing good.,n,n,n
155,1393654652722368514,1393663003111854080,old,Is it controversial to think modern football is a better watch than modern hurling?, what is controversial about it. football is a far more exciting game.,n,n,n
156,1507889736362475522,1508054707285205001,new,Is it too much to ask the coaches to wear suits again?, that would offend their rights in today's world.,py,y,y
157,1500989413559611401,1501015902938144771,new,I’m curious. Do you think every state should accept mail-in ballots in every election?, 100%! voting should be easy for citizens.,y,y,y
158,1383196573903904768,1383199111999016963,old,Do you drive really slow in the passing lane and use no other lane?, you must be in either texas or florida.,uk,uk,uk
159,1503299224737398785,1503342480422486020,new,"If u fall asleep during a film , is it a bad film?"," you can fall asleep driving, which tells me sleep trumps all",pn,uk,pn
160,1402939403920560129,1402944559437402127,old,My boss was surprised I can drive a manual. Is it that unusual for females to be able to drive manuals?, nope! not unusual to have a dinosaur for a boss either.,n,n,n
161,1381730321004175361,1385430827610296321,old,Is it illegal to hang air fresheners from a car's rear view mirror?, yes but not legal to die because of it #dauntewright,y,y,y
162,1504660086853189632,1504673359032098822,new,Probably going to sleep soon. Do you guys ever feel like going to sleep?, like and retweet if you experience universal physical sensations.,uk,y,uk
163,1501594196997808130,1501594506835103745,new,Do you subscribe to Disney Plus?," no, i pirate them just like a normal person would do",n,n,n
164,1391736776180387844,1391737717592047620,old,"Do you see a correlation between grammar, usage and ideology?", that's too nuanced. you could have just said gaali and ideology. 😀,pn,uk,uk
165,1391360390429294593,1391513323057958915,old,Do you use Rokfin?," *looks at the website*

i don't trust it....",n,n,n
166,1404133822300622853,1404136726482849796,old,Do you watch sports shows on tv?, kenny do u watch any football/soccer whatever u call it,uk,uk,uk
167,1501181033416474624,1501187119473381380,new,💎🤲 Do you have diamond hands?," yes, but it cost very high and very painful for the common people.",y,y,y
168,1501594196997808130,1501628961591373831,new,Do you subscribe to Disney Plus?," yes, they have great options for different languages. especially compared to netflix's lackluster italian content",y,y,y
169,1401579436244226053,1401600304756539394,old,Do you guys wash your jeans every time you wear them?, it depends if is winter i can hold few wearing if is summer one and wash,uk,py,py
170,1390113854621982730,1390115502387781632,old,Love that my new welcome greeting to visitors at my house is “Do you want to see my machetes?, that’ll keep ‘em in line right from the start.,uk,uk,uk
171,1502304099571843079,1502319047647666185,new,Do you think a ban on crypto would stop you using it?, its not the governments job to tell us what we can do with our earned income,n,pn,n
172,1495840803209756672,1495847904967540736,new,Do you and your partner discuss voting intentions with each other?," no,  we know exactly how we'll vote #alboforpm",n,n,n
173,1508953395914231811,1508953967954440192,new,"If you eat a Spinach pie with feta and it tastes delicious, does it count as a serving of vegetable?", no. the phyllo dough & feta negate the spinach,n,n,n
174,1402603886897242112,1402613215020916739,old,Is it enough?, it should be at least 20 m each tbh,n,uk,n
175,1496258773568176129,1496275296508682240,new,Do you consider lying by omission Ie. Allowing someone to think something you know is untrue the same as lying?, not always. there are times it is best to just keep quiet.,pn,pn,pn
176,1402939403920560129,1402947256697778181,old,My boss was surprised I can drive a manual. Is it that unusual for females to be able to drive manuals?, it’s a surprise anyone can drive a manual. 🙂,y,y,y
177,1494922774112051201,1495000422859350016,new,Do you see now that it wasn’t about the bloody masks?, it never was & it never will be.,y,n,y
178,1495062125814980610,1495062258309017602,new,"Question for Sia fans, do you use Discord?", no. but if it need i can make it.,n,n,n
179,1505976111242559488,1505982067703955457,new,Do you want the No Build LTM to become a permanent selectable mode in the future (with normal build modes still being here)?, i want late game arena to be a permanent ltm,uk,n,n
180,1495048962545487881,1495355683621031938,new,Do you have a backup plan if things don't work out with your music career?, yes i have professional work i do..,y,y,y
181,1507066176920162304,1507068626267947015,new,is it legal to drive with ur titties out?, no i feel like that would be distracting to other drivers,n,n,n
182,1401225105540272128,1401249156727980038,old,Question. Do you think we'll see the back of Covid during your lifetime?, depends. switch off the msm and there is no pandemic,pn,pn,pn
183,1384114308745863170,1384177137578512393,old,"Is it possible for the the players to stand together and say, if the club breaks away from the super league we won’t play!! ?", let em go we don’t need them be better for rest of us,y,uk,y
184,1390388667210891266,1390423275558277120,old,Is it possible to make the postseason yet miss the playoffs?, if there's any team that can do it for damn sure it's the kangz.,uk,py,py
185,1494724608313933829,1494726904552648705,new,Do you even have a cat if you haven’t searched “does my cat love me”?, i don't have any cat give me a cat as a gift,uk,uk,uk
