,gold
0,n
1,y
2,n
3,n
4,n
5,py
6,y
7,y
8,y
9,y
10,n
11,y
12,y
13,uk
14,n
15,n
16,py
17,uk
18,n
19,n
20,y
21,n
22,pn
23,y
24,y
25,n
26,n
27,n
28,n
29,y
30,y
31,n
32,y
33,n
34,uk
35,y
36,n
37,n
38,y
39,n
40,y
41,n
42,y
43,y
44,n
45,y
46,n
47,n
48,y
49,n
50,y
51,y
52,y
53,y
54,py
55,y
56,n
57,y
58,y
59,y
60,n
61,n
62,y
63,y
64,n
65,n
66,n
67,n
68,n
69,py
70,y
71,y
72,y
73,n
74,y
75,y
76,y
77,y
78,n
79,n
80,py
81,n
82,n
83,py
84,n
85,y
86,y
87,n
88,y
89,n
90,y
91,uk
92,n
93,n
94,y
95,y
96,y
97,n
98,n
99,n
100,y
101,uk
102,y
103,y
104,y
105,n
106,y
107,py
108,y
109,y
110,n
111,y
112,y
113,y
114,n
115,y
116,n
117,y
118,n
119,py
120,n
121,y
122,y
123,y
124,py
125,y
126,y
127,y
128,y
129,n
130,uk
131,y
132,y
133,n
134,y
135,n
136,py
137,y
138,uk
139,y
140,py
141,y
142,py
143,y
144,n
145,n
146,y
147,y
148,n
149,y
150,n
151,y
152,n
153,y
154,n
155,py
156,n
157,y
158,n
159,n
160,n
161,n
162,y
163,y
164,n
165,n
166,n
167,n
168,n
169,y
170,n
171,y
172,n
173,y
174,n
175,n
176,n
177,n
178,n
179,y
180,n
181,n
182,n
183,y
184,py
185,n
186,n
187,n
188,y
189,y
190,n
191,py
192,y
193,n
194,n
195,pn
196,y
197,y
198,y
199,py
200,n
201,y
202,n
203,y
204,y
205,y
206,y
207,n
208,n
209,y
210,y
211,py
212,py
213,n
214,y
215,y
216,n
217,n
218,py
219,y
220,y
221,y
222,y
223,n
224,y
225,y
226,n
227,pn
228,n
229,n
230,py
231,y
232,n
233,y
234,n
235,n
236,y
237,n
238,y
239,y
240,n
241,y
242,y
243,y
244,y
245,y
246,n
247,py
248,py
249,y
250,y
251,n
252,n
253,y
254,n
255,y
256,pn
257,y
258,y
259,y
260,y
261,y
262,n
263,y
264,n
265,n
266,n
267,n
268,y
269,n
270,y
271,y
272,y
273,y
274,n
275,y
276,y
277,n
278,n
279,y
280,y
281,py
282,y
283,n
284,y
285,y
286,uk
287,n
288,y
289,y
290,y
291,y
292,y
293,py
294,y
295,y
296,y
297,y
298,py
299,y
300,y
301,y
302,y
303,y
304,n
305,n
306,y
307,n
308,y
309,py
310,uk
311,py
312,uk
313,y
314,n
315,y
316,n
317,uk
318,y
319,py
320,n
321,y
322,y
323,n
324,y
325,n
326,y
327,n
328,py
329,n
330,n
331,y
332,y
333,y
334,n
335,y
336,n
337,n
338,y
339,n
340,n
341,n
342,py
343,n
344,py
345,n
346,n
347,n
348,n
349,n
350,y
351,n
352,y
353,y
354,n
355,y
356,uk
357,y
358,py
359,n
360,py
361,n
362,y
363,n
364,n
365,py
366,uk
367,y
368,n
369,y
370,y
371,n
372,n
373,uk
374,n
375,y
376,n
377,n
378,y
379,n
380,py
381,y
382,n
383,n
384,y
385,n
386,n
387,n
388,n
389,y
390,y
391,n
392,y
393,y
394,n
395,n
396,py
397,n
398,y
399,n
400,y
401,y
402,n
403,y
404,y
405,y
406,y
407,n
408,n
409,y
410,y
411,uk
412,y
413,y
414,y
415,y
416,uk
417,n
418,y
419,y
420,y
421,uk
422,py
423,y
424,y
425,py
426,n
427,n
428,n
429,y
430,n
431,n
432,n
433,y
434,n
435,y
436,y
437,pn
438,n
439,n
440,y
441,n
442,n
443,y
444,n
445,uk
446,uk
447,n
448,uk
449,y
450,n
451,y
452,y
453,y
454,n
455,pn
456,uk
457,y
458,n
459,n
460,n
461,pn
462,uk
463,y
464,n
465,n
466,y
467,n
468,n
469,n
470,y
471,n
472,n
473,y
474,n
475,uk
476,n
477,n
478,y
479,y
480,py
481,y
482,y
483,n
484,y
485,y
486,y
487,y
488,y
489,y
490,n
491,n
492,n
493,y
494,y
495,y
496,n
497,n
498,y
499,n
500,n
501,y
502,y
503,n
504,y
505,y
506,y
507,py
508,y
509,n
510,n
511,n
512,n
513,y
514,n
515,n
516,y
517,n
518,y
519,y
520,n
521,y
522,y
523,n
524,py
525,y
526,y
527,y
528,n
529,py
530,uk
531,n
532,n
533,y
534,y
535,py
536,y
537,y
538,y
539,py
540,y
541,py
542,y
543,n
544,y
545,n
546,n
547,n
548,y
549,y
550,y
551,y
552,y
553,y
554,n
555,uk
556,y
557,n
558,y
559,y
560,y
561,y
562,n
563,n
564,y
565,n
566,n
567,uk
568,n
569,y
570,y
571,py
572,n
573,n
574,y
575,y
576,n
577,y
578,n
579,n
580,y
581,n
582,n
583,py
584,n
585,y
586,y
587,y
588,y
589,n
590,y
591,y
592,y
593,uk
594,n
595,y
596,uk
597,n
598,y
599,py
