,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold_1,gold_2,gold_adj
0,1504244929580912640,1504246292855336968,new,Do you believe in the 'rookie wall'?, yes...and even if youare on a good team you could still struggle so...yea,y,y,y
1,1420595744331894785,1420604479322218501,old,is it illegal to drive with a sheet mask on?, i’m embarrassed to admit how many times i’ve done this on my commute,y,y,y
2,1512981194861953027,1512984149367267329,new,"Do you love me, baby?", for you i’d walk to modesto,y,y,y
3,1504126292198842370,1504126786434740242,new,Is it possible to recover corrupted sd card ?, yes just reformat it for future use but the data will also be erased,n,y,n
4,1397949757306249223,1399053473208020995,old,do you believe in heaven?, i entered into heaven as a kid and yes it's beautiful,y,y,y
5,1506120620924301314,1506128629444489221,new,Do you have a favorite note in your favorite songs?, the solo in i can see for miles.,y,y,y
6,1523123300146184192,1523217082334138369,new,Do you like yourself?," if you don't like yourself, then none will like you",y,y,y
7,1507976421188198407,1507988224630734852,new,Do you wanna build a snowman?, it doesn't have to a be a snowman ☃️🙂,pn,n,pn
8,1505037194792157185,1505293311204073476,new,Make ranked Halo competitive. Is it really that hard to understand?, imagine a ranked system whwre obj is rewarded 😩,uk,uk,uk
9,1524937087467724800,1524938549635719182,new,Do you keep your syrup in the fridge?," you have to refrigerate maple syrup once it’s opened, i think.",y,y,y
10,1528783990966165506,1528787631739654145,new,Do you believe in yourself?, belief is the first thing that needs to achieve anything.,y,y,y
11,1432436085674622981,1432436817287069704,old,Is it a bad sign if you can feel your brain stem?, it’s probably pretty really you-should-see-a-docter bad,y,y,y
12,1497776152496140292,1497776675014131712,new,babysitting my friends kid and just said “we can watch youtube AFTER we find the cap to this marker.” do you think I would be a good dad?, you should probably just take the kids home with you tbh,y,y,y
13,1443243974412570624,1443244326436290566,old,Do you have a podcast?," no, and am getting flack for that. have friends busy inviting me as a guest.",n,n,n
14,1524744257483022336,1524745232352354304,new,POLL: Do you feel comfortable discussing pay transparency?," yes, i feel comfortable discussing pay transparency.",y,y,y
15,1456954520152551424,1457038513577336838,old,Do you think fireworks should be banned after a certain time?, think the oxford mail should be banned they are a virus in themselves,uk,uk,uk
16,1463851004718366721,1466716198419247107,old,Does it get any better?, yes - as a vegetarian with a milk allergy this really doesn't do anything for me.,y,y,y
17,1511340534782177291,1511342953062703118,new,Do you have an up-to-date will?," yes. single folks need to have their affairs in order, too.",y,y,y
18,1442943043414364161,1442943288617570307,old,Do you love your job ?," yes yes yes 1000 yes ,it's the best job a person can ever get💫",y,y,y
19,1511594180790919172,1511594864361758727,new,"This thing going round, is it still 'the flu'?", thank god no be only me dey notice it,y,uk,uk
20,1461773580912369665,1461773941060472833,old,Is it weird to cry with relief during a massage?, 😂😂 no that’s beautiful then u really get to be loose,n,n,n
21,1393499250361839620,1393515691123351555,old,Quick question for atheists only: do you believe in ghosts?," no.
 
though open to proof, unlikely as i think that will be.",n,n,n
22,1449805259409342471,1449808436657639427,old,"If your children end up moving away for college and careers, do you just constantly carry a feeling of missing them around with you forever?", sigh. can’t really say “forever” yet but still,y,py,y
23,1530356436479401985,1530356612044562433,new,I just realized vegans can’t eat milk chocolate damn is it worth it?, vegans can eat whatever they want if they lie about it.,uk,n,uk
24,1405679777881620481,1405901812285202441,old,Do you think that Dogecoin is the future?," hopefully, the wag walking app folks can make it to #dogepalooza  #dogecoin",y,y,y
25,1515041738057990150,1515042368734511112,new,Is it true that fine boys really don't pay?, we can't be fine and be paying a fine at the same time,n,y,y
26,1413646946682736653,1413659248861483010,old,I never went to university and I have a question. Is it hard?," parts can be hard depending on learning styles +, but you'll love it!",py,pn,pn
27,1527339341391212544,1527344389944594448,new,Is it fair game to fart if the person next to you in a plane on an airline that requires masks isn’t wearing one?, it doesn't even start to fit the crime. but yes,y,y,y
28,1450868272333668352,1450882244432826371,old,do you have your dream job?, my dream is to not have to work,y,y,y
29,1460299810280333317,1460665143017107463,old,I want pizza. Is it too early for pizza?, never!  their are many great pizza to have in the am!,n,n,n
30,1444109056738828288,1444109169745973252,old,"If I’m playing a game, and I’m not allowed to tweet about it, does it even exist?", it depends of how much u wanna get sued,uk,uk,uk
31,1512559016328585221,1512577136615251971,new,Do you want to be famous?," famous enough to get good tables quickly at cool restaurants, but nothing much beyond that.",py,py,py
32,1494902762718392321,1494945881543659522,new,Do you all feel like you should always respect those that came before you?," yes, until proven otherwise. definitely get the benefit of the doubt from jump",y,y,y
33,1445969156923351040,1445983757689839616,old,"Doesn't feel so good, does it Cardinals fans?"," they tried, i’ll give them that.  #gododgers #northboundonthe5",n,y,n
34,1402869075366137857,1402891675664584711,old,Do you believe in coincidences?," i think the most honest answer is: ""i don't know""",uk,uk,uk
35,1410847832278552591,1410868005769187335,old,Is it flash crash time yet?, not yet but fuds going on so might be ready,n,n,n
36,1449805259409342471,1449868532762697730,old,"If your children end up moving away for college and careers, do you just constantly carry a feeling of missing them around with you forever?", it's my understanding that you are supposed to buy a condo where they've moved to.,n,y,y
37,1401353338499727363,1401358758836572160,old,Do you wash your hands after you touch your dog?, yup. just told me 8 year old literally 5 minutes ago to go wash his hands,y,y,y
38,1383457787582111750,1383484671669932038,old,Do you think it’s ethical to invest in the stock market?, yes. companies go public for a myriad of reasons and rely on investments for growth.,y,y,y
39,1382859135562178568,1382944908407840769,old,Sooooo do you like it?," yes
i haven’t listened to it yet but i already know it’ll be good",y,y,y
40,1471687795882307590,1471688502542802953,old,This new kinda analytics Football is driving me crazy! I don’t like it!!! Do you?, chargers would have a comfortable lead if they would of just taken the field goals.,uk,uk,uk
