,predict,Main_Tweet_ID,Reply_id
0,uk,1505591204783734785,1505605176140472320
1,uk,1471985146891059206,1471985474621173763
2,n,1465064127399870467,1465229350660284417
3,y,1524647970611863553,1524648652886757376
4,y,1506565419313868802,1506577193626918918
5,y,1416480777106251793,1416494278302384132
6,n,1507889736362475522,1508083507158990850
7,y,1519855268414246913,1519866363187245056
8,n,1402787769395548160,1402806848974098435
9,y,1527318225196707842,1527547789856710657
10,y,1524121249118666752,1524132358991056898
11,n,1424056943270825984,1424074597817802755
12,y,1434721504588091394,1434721813578268676
13,n,1468257975047499779,1468291927707734018
14,n,1506627298447052811,1506687075382448131
15,n,1390237016776925187,1390252381196128257
16,uk,1494724608313933829,1495005417063256069
17,n,1458728812368338946,1458813950359973895
18,y,1534840680257921024,1534888066497773568
19,y,1470926916383346690,1470927020477632516
20,n,1450544782594424841,1450545824375746576
21,n,1519855268414246913,1519855389763936257
22,y,1506834667936391173,1506835126717759495
23,n,1414727400806658048,1414728092292112385
24,n,1402679421832630278,1402691499519668224
25,n,1512595116455710723,1512595820499161094
26,y,1381730321004175361,1381982218889822217
27,n,1497519871462363142,1497522025996316675
28,n,1505591204783734785,1505594365552386048
29,y,1449419678028234753,1449488688283521024
30,n,1440938644873879552,1440940141049225216
31,n,1450917556957687814,1450925938892427268
32,y,1461624625922719745,1461629366698496001
33,py,1508968628191838209,1508971720769609729
34,y,1445582067069116416,1445582468094959618
35,uk,1505833481619787776,1505869216754413570
36,n,1424421758732537861,1424424002852884480
37,y,1521931110589947904,1521934937733050368
38,y,1533812172983263232,1533812977295671296
39,py,1526559173063974912,1526559451313938432
40,uk,1533518089362591744,1533518766595776515
41,y,1500989413559611401,1501002095591186433
42,n,1530564939634573312,1530567952491323392
43,uk,1526563164481019904,1526568179589316610
44,n,1434721504588091394,1434725262223085568
45,y,1503787818929123331,1503789068810743809
46,n,1495593777020514305,1495615190028947457
47,uk,1498846242951950336,1498846927378698241
48,y,1518730408333963264,1518902589915598850
49,y,1499019801351663624,1499023468691697667
50,n,1533489423370928128,1533524529271779335
51,uk,1506683109076611079,1506690642876973058
52,uk,1427455786402291735,1427456101889450000
53,n,1496618534369169410,1496631523155533825
54,y,1525139728139530240,1525146576951312385
55,n,1445582067069116416,1445589240767647744
56,uk,1494724608313933829,1494725303385858050
57,n,1454876080154677249,1454894131516424195
58,pn,1512894569825792003,1512907556435345411
59,uk,1454980917915574278,1454982826911219718
60,y,1418261142657376258,1418389014806073346
61,y,1467967060777050115,1467969887624597504
62,y,1459233909632286723,1459289699181281288
63,y,1471985146891059206,1471985318949756929
64,y,1527038299872841728,1527065350914842625
65,n,1402603886897242112,1402604724617162753
66,n,1513268653344575497,1513269235438350336
67,y,1450917556957687814,1450917741209268228
68,y,1410007987528384529,1410065706864066563
69,y,1527752294716022786,1527760860843753472
70,y,1529946042401275917,1529955667699810308
71,y,1406628758195478534,1406733964040097798
72,n,1519855268414246913,1519971492171337729
73,y,1532769479826059265,1533025212253585408
74,y,1383196573903904768,1383196745128099840
75,y,1504660086853189632,1504859511588327425
76,n,1402761289173176329,1402836868752822276
77,y,1447007086441758721,1447017653625835520
78,y,1523762230415835139,1523773932674838529
79,uk,1529794531897614337,1529795377267884036
80,y,1515913746954162176,1515914904284418049
81,y,1406628758195478534,1406629232768323586
82,n,1511856370156556298,1511886525981675525
83,n,1437460709156159490,1437486688612327429
84,y,1405709604986789890,1405709831445483528
85,n,1468257975047499779,1468288848883032071
86,y,1410610112679485446,1410627982054420484
87,n,1417278951567761408,1417350293067550740
88,y,1527528757170511873,1527638624942030850
89,y,1526625806340038664,1526630355196944386
90,y,1449419678028234753,1449461900081782788
91,uk,1533912514131640321,1533953400467070976
92,y,1527318225196707842,1527642425090613248
93,y,1512107202903175171,1512107594692931587
94,y,1476565717914828807,1476569023131185158
95,y,1466816231076474886,1466836089214324737
96,n,1506834667936391173,1506836781970436096
97,y,1384162484345479171,1384166637008396302
98,y,1416521845050773505,1416522736042659841
99,y,1467967060777050115,1467980247786299394
100,n,1512303495902380033,1512305398929399808
101,y,1391360390429294593,1391477622232784902
102,y,1382068369428471811,1382072054715940864
103,uk,1466816231076474886,1466838539493154820
104,n,1471558208380715008,1471558675009572875
105,n,1509173196071014400,1509173572920619021
106,y,1514458569403478021,1514470830461403139
107,y,1402603886897242112,1402607153513472004
108,n,1522910344838008833,1522916673107415040
109,pn,1442532393311682563,1442542602319015936
110,n,1533518089362591744,1533518960007725057
111,n,1440938644873879552,1440939476616876041
112,y,1531417724584353793,1531694780253626371
113,y,1507889736362475522,1507890230015275020
114,uk,1414783164044677121,1414830691636768771
115,n,1471558208380715008,1471590046432219139
116,n,1529946042401275917,1529946621450108948
117,uk,1409932895293169675,1409937842961272837
118,uk,1507066176920162304,1507066519259394051
119,n,1470482564288811013,1470485512695828490
120,n,1468257975047499779,1468258296310157319
121,n,1529502995615846401,1529514348569194497
122,y,1461408868261629952,1461770330964430850
123,y,1512079578298138642,1512080174979837961
