,gold
0,py
1,uk
2,uk
3,y
4,y
5,y
6,uk
7,y
8,n
9,y
10,uk
11,n
12,y
13,y
14,n
15,n
16,uk
17,uk
18,uk
19,uk
20,n
21,n
22,uk
23,n
24,py
25,n
26,uk
27,y
28,uk
29,uk
30,n
31,n
32,uk
33,y
34,y
35,uk
36,uk
37,uk
38,y
39,n
40,uk
41,y
42,n
43,n
44,n
45,n
46,n
47,uk
48,uk
49,uk
50,n
51,n
52,uk
53,py
54,uk
55,y
56,uk
57,y
58,n
59,n
60,uk
61,uk
62,n
63,n
64,uk
65,n
66,uk
67,n
68,uk
69,y
70,y
71,uk
72,y
73,y
74,y
75,uk
76,uk
77,y
78,n
79,uk
80,uk
81,n
82,n
83,py
84,y
85,y
86,uk
87,n
88,n
89,n
90,n
91,y
92,y
93,uk
94,uk
95,y
96,n
97,y
98,y
99,n
100,y
101,n
102,py
103,uk
104,uk
105,n
106,y
107,y
108,n
109,uk
110,uk
111,n
112,n
113,uk
114,n
115,n
116,uk
117,n
118,n
119,n
120,uk
121,uk
122,y
123,y
124,y
125,y
126,n
127,uk
128,y
129,n
130,n
131,y
132,uk
133,y
134,n
135,n
136,y
137,n
138,uk
139,n
140,uk
141,uk
142,y
143,y
144,uk
145,n
146,n
147,uk
148,n
149,n
150,uk
151,uk
152,y
153,n
154,y
155,y
156,uk
157,uk
158,n
159,y
160,uk
161,y
162,uk
163,y
164,y
165,uk
166,n
167,y
168,uk
169,uk
170,n
171,y
172,n
173,uk
174,n
175,y
176,y
177,uk
178,n
179,uk
180,n
181,py
182,y
183,y
184,y
185,py
186,y
187,y
188,uk
189,uk
190,n
191,y
192,n
193,n
194,uk
195,y
196,uk
197,y
198,uk
199,n
200,uk
201,y
202,uk
203,y
204,uk
205,uk
206,n
207,uk
208,n
209,y
210,uk
211,n
212,y
213,n
214,uk
215,n
216,y
217,y
218,n
219,py
220,n
221,y
222,y
223,py
224,uk
225,uk
226,uk
227,y
228,n
229,uk
230,y
231,y
232,uk
233,uk
234,y
235,y
236,n
237,n
238,n
239,y
240,uk
241,n
242,uk
243,y
244,n
245,y
246,y
247,uk
248,uk
249,n
250,y
251,n
252,y
253,n
254,y
255,y
256,n
257,n
258,n
259,n
260,y
261,uk
262,n
263,uk
264,uk
265,y
266,py
267,uk
268,y
269,y
270,y
271,n
272,uk
273,uk
274,uk
275,n
276,n
277,uk
278,y
279,n
280,uk
281,uk
282,n
283,n
284,n
285,uk
286,y
287,n
288,n
289,n
290,n
291,n
292,n
293,n
294,n
295,y
296,y
297,y
298,n
299,n
300,y
301,uk
302,uk
303,uk
304,n
305,uk
306,y
307,uk
308,n
309,y
310,py
311,uk
312,n
313,n
314,n
315,y
316,y
317,y
318,y
319,y
320,uk
321,n
322,uk
323,n
324,n
325,y
326,y
327,y
328,n
329,uk
330,n
331,n
332,y
333,uk
334,n
335,n
336,y
337,uk
338,uk
339,y
340,n
341,n
342,n
343,n
344,py
345,n
346,n
347,uk
348,y
349,n
350,n
351,y
352,y
353,uk
354,py
355,uk
356,uk
357,y
358,n
359,n
360,y
361,py
362,n
363,n
364,uk
365,uk
366,uk
367,n
368,y
369,y
370,n
371,y
372,n
373,n
374,uk
375,n
376,y
377,n
378,y
379,y
380,n
381,y
382,n
383,n
384,n
385,n
386,n
387,py
388,y
389,py
390,y
391,n
392,n
393,uk
394,y
395,n
396,n
397,uk
398,n
399,uk
400,y
401,y
402,uk
403,n
404,y
405,n
406,n
407,n
408,uk
409,uk
410,n
411,uk
412,y
413,y
414,py
415,y
416,y
417,n
418,uk
419,y
420,n
421,y
422,n
423,uk
424,n
425,n
426,y
427,uk
428,y
429,n
430,y
431,n
432,y
433,n
434,n
435,uk
436,uk
437,y
438,n
439,n
440,y
441,n
442,n
443,y
444,uk
445,y
446,n
447,y
448,n
449,y
450,n
451,uk
452,uk
453,n
454,uk
455,y
456,y
457,y
458,y
459,y
460,y
461,n
462,n
463,n
464,uk
465,y
466,n
467,y
468,n
469,n
470,uk
471,n
472,y
473,uk
474,y
475,n
476,y
477,n
478,n
479,y
480,uk
481,y
482,y
483,uk
484,n
485,uk
486,n
487,n
488,n
489,y
490,y
491,n
492,py
493,uk
494,n
495,y
496,n
497,y
498,n
499,y
500,n
501,uk
502,y
503,uk
504,y
505,py
506,uk
507,y
508,n
509,y
510,n
511,uk
512,n
513,n
514,y
515,n
516,n
517,y
518,py
519,y
520,y
521,n
522,n
523,uk
524,n
525,n
526,n
527,y
528,uk
529,uk
530,uk
531,n
532,y
533,n
534,uk
535,y
536,n
537,n
538,uk
539,n
540,y
541,y
542,py
543,n
544,uk
545,y
546,uk
547,y
548,uk
549,n
550,n
551,y
552,y
553,uk
554,y
555,y
556,n
557,y
558,n
559,n
560,uk
561,uk
562,n
563,y
564,n
565,n
566,y
567,uk
568,y
569,n
570,n
571,n
572,py
573,y
574,n
575,py
576,y
577,uk
578,y
579,y
580,n
581,n
582,y
583,n
584,n
585,uk
586,n
587,uk
588,y
589,y
590,y
591,uk
592,y
593,n
594,n
595,uk
596,y
597,uk
598,uk
599,uk
