,result
0,n
1,uk
2,n
3,uk
4,n
5,y
6,uk
7,n
8,pn
9,y
10,pn
11,n
12,n
13,py
14,n
15,n
16,n
17,uk
18,uk
19,n
20,n
21,n
22,py
23,uk
24,uk
25,n
26,n
27,py
28,n
29,n
30,n
31,n
32,uk
33,y
34,uk
35,uk
36,uk
37,uk
38,pn
39,y
40,pn
41,y
42,n
43,n
44,uk
45,pn
46,pn
47,uk
48,uk
49,n
50,n
51,uk
52,uk
53,y
54,uk
55,y
56,uk
57,uk
58,uk
59,n
60,pn
61,uk
62,y
63,pn
64,uk
65,n
66,uk
67,uk
68,pn
69,y
70,y
71,uk
72,uk
73,n
74,y
75,n
76,n
77,n
78,pn
79,n
80,py
81,n
82,n
83,py
84,py
85,y
86,n
87,n
88,n
89,n
90,py
91,y
92,y
93,n
94,uk
95,y
96,n
97,y
98,pn
99,uk
100,y
101,py
102,n
103,y
104,uk
105,n
106,y
107,y
108,pn
109,n
110,uk
111,uk
112,uk
113,y
114,uk
115,y
116,pn
117,n
118,pn
119,n
120,uk
121,n
122,y
123,py
124,y
125,y
126,n
127,py
128,y
129,uk
130,n
131,y
132,uk
133,y
134,py
135,pn
136,pn
137,n
138,uk
139,n
140,pn
141,n
142,n
143,py
144,n
145,n
146,uk
147,n
148,uk
149,n
150,n
151,n
152,y
153,n
154,y
155,uk
156,n
157,n
158,uk
159,uk
160,n
161,uk
162,uk
163,py
164,y
165,uk
166,pn
167,uk
168,py
169,py
170,uk
171,y
172,n
173,uk
174,n
175,y
176,y
177,uk
178,pn
179,py
180,n
181,n
182,y
183,py
184,py
185,n
186,y
187,uk
188,uk
189,n
190,pn
191,y
192,n
193,n
194,uk
195,y
196,uk
197,y
198,uk
199,pn
200,uk
201,y
202,n
203,y
204,uk
205,n
206,n
207,uk
208,n
209,y
210,n
211,uk
212,y
213,n
214,n
215,n
216,py
217,py
218,uk
219,uk
220,uk
221,py
222,py
223,uk
224,y
225,uk
226,py
227,n
228,n
229,pn
230,uk
231,uk
232,uk
233,n
234,y
235,y
236,n
237,n
238,n
239,py
240,uk
241,n
242,n
243,n
244,n
245,n
246,y
247,uk
248,n
249,uk
250,py
251,n
252,y
253,uk
254,uk
255,n
256,y
257,n
258,n
259,n
260,n
261,uk
262,n
263,y
264,y
265,n
266,n
267,uk
268,y
269,n
270,py
271,uk
272,n
273,n
274,n
275,uk
276,pn
277,uk
278,y
279,uk
280,pn
281,uk
282,n
283,py
284,uk
285,n
286,y
287,n
288,uk
289,n
290,py
291,y
292,n
293,n
294,n
295,uk
296,y
297,uk
298,n
299,n
300,y
301,n
302,n
303,y
304,n
305,n
306,y
307,y
308,uk
309,py
310,n
311,uk
312,n
313,uk
314,n
315,y
316,uk
317,uk
318,py
319,uk
320,n
321,n
322,py
323,n
324,uk
325,uk
326,py
327,py
328,n
329,uk
330,n
331,n
332,y
333,py
334,n
335,n
336,y
337,uk
338,pn
339,py
340,n
341,pn
342,py
343,uk
344,uk
345,n
346,n
347,n
348,pn
349,pn
350,n
351,y
352,py
353,uk
354,uk
355,py
356,n
357,n
358,n
359,py
360,y
361,n
362,n
363,n
364,n
365,py
366,y
367,n
368,n
369,uk
370,uk
371,y
372,pn
373,uk
374,n
375,py
376,y
377,n
378,y
379,py
380,n
381,uk
382,n
383,n
384,uk
385,n
386,n
387,pn
388,py
389,uk
390,y
391,pn
392,n
393,uk
394,uk
395,n
396,uk
397,uk
398,n
399,n
400,pn
401,y
402,uk
403,py
404,y
405,n
406,n
407,n
408,uk
409,n
410,pn
411,n
412,uk
413,y
414,py
415,n
416,uk
417,n
418,pn
419,uk
420,uk
421,y
422,n
423,uk
424,pn
425,n
426,uk
427,uk
428,n
429,n
430,y
431,n
432,py
433,uk
434,n
435,n
436,uk
437,n
438,py
439,n
440,y
441,uk
442,pn
443,uk
444,uk
445,y
446,n
447,y
448,n
449,uk
450,uk
451,y
452,py
453,n
454,n
455,y
456,y
457,n
458,n
459,n
460,uk
461,n
462,n
463,n
464,uk
465,y
466,uk
467,y
468,n
469,n
470,n
471,pn
472,py
473,n
474,y
475,pn
476,y
477,n
478,n
479,y
480,n
481,uk
482,n
483,uk
484,uk
485,uk
486,uk
487,n
488,uk
489,y
490,uk
491,py
492,y
493,n
494,uk
495,y
496,py
497,y
498,uk
499,y
500,n
501,n
502,n
503,uk
504,pn
505,n
506,pn
507,y
508,pn
509,uk
510,n
511,uk
512,uk
513,n
514,uk
515,n
516,pn
517,y
518,n
519,py
520,y
521,n
522,pn
523,n
524,y
525,n
526,n
527,n
528,uk
529,uk
530,n
531,n
532,uk
533,n
534,uk
535,y
536,n
537,uk
538,n
539,uk
540,y
541,uk
542,pn
543,n
544,pn
545,n
546,uk
547,uk
548,n
549,pn
550,uk
551,y
552,y
553,uk
554,n
555,y
556,uk
557,n
558,n
559,n
560,py
561,n
562,uk
563,y
564,n
565,py
566,y
567,n
568,uk
569,n
570,pn
571,pn
572,pn
573,py
574,uk
575,n
576,n
577,n
578,y
579,py
580,n
581,y
582,py
583,uk
584,n
585,uk
586,y
587,uk
588,y
589,y
590,py
591,n
592,y
593,n
594,n
595,n
596,y
597,py
598,n
599,uk
