,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold_1,gold_2,gold_adj
0,1504244929580912640,1504246292855336968,new,Do you believe in the 'rookie wall'?, yes...and even if youare on a good team you could still struggle so...yea,y,y,y
1,1517058055887745025,1517106176575553538,new,Do you believe you are great?, news flash - i don't see greatness in everyone and i doubt most people do.,n,n,n
2,1512981194861953027,1512984149367267329,new,"Do you love me, baby?", for you i’d walk to modesto,y,y,y
3,1533912514131640321,1533913184268075008,new,Do you have confidence in the Prime Minister?, the people need to vote. not his cronies. #inthenationsinterest,uk,n,n
4,1504126292198842370,1504126786434740242,new,Is it possible to recover corrupted sd card ?, yes just reformat it for future use but the data will also be erased,n,y,n
5,1507976421188198407,1507988224630734852,new,Do you wanna build a snowman?, it doesn't have to a be a snowman ☃️🙂,pn,n,pn
6,1524937087467724800,1524938549635719182,new,Do you keep your syrup in the fridge?," you have to refrigerate maple syrup once it’s opened, i think.",y,y,y
7,1519669503801626625,1519670049866399756,new,At the salon and someone just said smile let me hear 😂 is it not supposed to be smile let me see?," this one no be like mistake ooo....abi na laugh she wan talk... 😂 

ifb",uk,uk,uk
8,1511856370156556298,1512081384495452173,new,Do you own a track saw?," no i do not, but i’d be willing to test one for you.",n,n,n
9,1512420518732967940,1512424970139443209,new,Do you trust anything this government says?, this is going to come as a shock to the anti-mask and anti-vax crowds.,uk,uk,uk
10,1515041738057990150,1515042368734511112,new,Is it true that fine boys really don't pay?, we can't be fine and be paying a fine at the same time,n,y,y
11,1513014027404087298,1513024718378569729,new,Do you still buy/carry Coach bags?, yes… the outlet be having cute ones and much more understated than back in the day!,y,y,y
12,1527339341391212544,1527344389944594448,new,Is it fair game to fart if the person next to you in a plane on an airline that requires masks isn’t wearing one?, it doesn't even start to fit the crime. but yes,y,y,y
13,1512559016328585221,1512577136615251971,new,Do you want to be famous?," famous enough to get good tables quickly at cool restaurants, but nothing much beyond that.",py,py,py
14,1499100529301110786,1499112992939515905,new,Is it poor form to throw a bag of dog poop in a random house’s outside trash can if you happen to pass directly by it?, i just hold the bag until i get back to my trash can. potential problem solved.,y,y,y
15,1522792397515673601,1522800322925768704,new,Do you stir your ice cream before eating it?, i like to drink the icecream but i dont want a milkshake bro idk,uk,uk,uk
16,1529950706068774934,1529951847976701953,new,DO YOU WANNA FUNK?, close run between that and kiss me again for best song ever.,uk,uk,uk
17,1533812172983263232,1533812834269904898,new,Do you have a tattoo?," nope, but i really appreciate the ""ink"".",n,n,n
18,1498732622847135744,1498733633129037830,new,Desi people - do you ever tear up your roti and put it in your shorba and eat it with a fork?, i think my mum would have backhanded me if i did...,n,n,n
19,1526015908627369986,1526017974930382849,new,Do you still keep in contact with your ex?, every time he tries to talk to me i hit that block button lol!,n,n,n
20,1504106828594135041,1504158504386498561,new,Do you want Daylight savings time permanent?, just leave it where it is right now & we’ll be good,y,n,y
21,1533596814313762816,1533601660794175492,new,Artists: Do you find that you are especially creative in certain phases you of the moon?," yes, but i don’t look up often enough.",y,y,y
22,1509645014548189187,1509658265520467971,new,Do you think the release of oil reserves will actually drive down prices at the pump?, i prefer fines for idle drills and undeveloped leases... but that won't grab headlines.,py,y,py
23,1512806803486097408,1513094440453353474,new,Ending early release of unrehabilitated violent felons should be a bipartisan issue. Do you agree?, they shouldn't even be considered for release.,uk,py,py
24,1519451326459133952,1519454895392362496,new,Do you have any reading rituals?," when day is done, it’s my time to delve into my book.",y,y,y
25,1519482185459273733,1520227356379848705,new,do you ever worry sometimes you are too good at video games?," nope, i'm not that good 😅 even when i am, the consistency is trash 🤣",n,n,n
26,1529932091101790217,1529933336604467201,new,Be honest . . . Do you ignore capture points and chase ships down?, sometimes i forget to capture but my friends dowsnt know tahat you can captue haha,y,y,y
27,1530338398971514882,1530469016464248832,new,my label has not been telling me to make tiktoks lately... do you think they still care about me?, as long as they're still telling you to tweet about emo guys sneakers - i'm following,y,py,y
28,1524264379356700672,1524265749967261696,new,Is it really an intro if it's the entire stream?, your basically a news channel and i love it keep it going brother,uk,y,uk
29,1507889736362475522,1508055986069811204,new,Is it too much to ask the coaches to wear suits again?," i believe it is.
coaches are there to coach,its not a fashion show.",y,y,y
30,1497262616842055686,1497263212236050433,new,"We're Just about to watch the latest westside story, is it any good CKC?", not seen it. i'm watching abstract on netflix. really interesting,uk,uk,uk
31,1522910344838008833,1522911047107162112,new,Do you think only people with a certain level of political knowledge should be allowed to vote?, the left will say anyone who disagrees with them should not vote,py,y,py
32,1511567230718423040,1511569526667755527,new,"Lakers fans, do you want to talk about it?", talk about how we will be back soon,n,y,y
33,1503922467127054340,1503922586022936577,new,Nothing is ever easy is it?, we gotta find that curse and destroy it,n,pn,n
34,1534236201447727105,1534258226966933504,new,Do you have a favorite last line from a book?, “and that’s why i will never be called the lame gatsby”,y,y,y
35,1508557722647773190,1509302165709414400,new,is it that time ?," yes, it’s more than that time 🕰 so get it done now 😂",y,y,y
