,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold_1,gold_2,gold_adj
0,1504244929580912640,1504246292855336968,new,Do you believe in the 'rookie wall'?, yes...and even if youare on a good team you could still struggle so...yea,y,y,y
1,1530457842645446657,1530460431847923712,new,Do you have my post notifications on my people?," yes, please just bless me for the weekend",y,y,y
2,1458728812368338946,1519760003468517378,old,Do you work in coffee?, i often bath in coffee but sadly i don't work in it... ☕️,n,n,n
3,1517058055887745025,1517106176575553538,new,Do you believe you are great?, news flash - i don't see greatness in everyone and i doubt most people do.,n,n,n
4,1420595744331894785,1420604479322218501,old,is it illegal to drive with a sheet mask on?, i’m embarrassed to admit how many times i’ve done this on my commute,y,y,y
5,1475559741296418817,1475560260177838084,old,Do you guys hate me?,'s account is temporarily unavailable because it violates the twitter media policy. learn more.,uk,uk,uk
6,1506683109076611079,1506695928333451268,new,"All we want is a government that cares about people. All of the people. It’s not complicated, is it?", surely it's not too much to ask either,n,n,n
7,1524987619691663360,1524987862235725825,new,Do you have NFTs that you didn’t buy because of the Art?, i’ve got nfts i bought because i didn’t know any better!,n,y,n
8,1531337262595727366,1531354562740756489,new,Is it cold?, came to bed at 6.45pm.  bloody freezing 🤦🏼‍♀️,y,y,y
9,1512981194861953027,1512984149367267329,new,"Do you love me, baby?", for you i’d walk to modesto,y,y,y
10,1464280871368749057,1464290912524283906,old,Is it big coat weather?, i don't own a big coat :(,n,uk,uk
11,1390871378459463680,1390879778450903041,old,Is it weird that most of my Mother’s Day plans don’t include my child?, i think mother’s day is supposed to be a get out of mommying free day lol,n,n,n
12,1533912514131640321,1533913184268075008,new,Do you have confidence in the Prime Minister?, the people need to vote. not his cronies. #inthenationsinterest,uk,n,n
13,1504126292198842370,1504126786434740242,new,Is it possible to recover corrupted sd card ?, yes just reformat it for future use but the data will also be erased,n,y,n
14,1397949757306249223,1399053473208020995,old,do you believe in heaven?, i entered into heaven as a kid and yes it's beautiful,y,y,y
15,1506120620924301314,1506128629444489221,new,Do you have a favorite note in your favorite songs?, the solo in i can see for miles.,y,y,y
16,1523123300146184192,1523217082334138369,new,Do you like yourself?," if you don't like yourself, then none will like you",y,y,y
17,1507976421188198407,1507988224630734852,new,Do you wanna build a snowman?, it doesn't have to a be a snowman ☃️🙂,pn,n,pn
18,1524264379356700672,1524295434860179458,new,Is it really an intro if it's the entire stream?," the streamer and only the streamer gets to decide what constitutes as ""an intro"" :d",uk,py,py
19,1417278951567761408,1417280512809345041,old,is it hard to care for a ball python?," ""doesn't play well with other dogs"" mom...",y,py,n
20,1505037194792157185,1505293311204073476,new,Make ranked Halo competitive. Is it really that hard to understand?, imagine a ranked system whwre obj is rewarded 😩,uk,uk,uk
21,1524937087467724800,1524938549635719182,new,Do you keep your syrup in the fridge?," you have to refrigerate maple syrup once it’s opened, i think.",y,y,y
22,1528783990966165506,1528787631739654145,new,Do you believe in yourself?, belief is the first thing that needs to achieve anything.,y,y,y
23,1432436085674622981,1432436817287069704,old,Is it a bad sign if you can feel your brain stem?, it’s probably pretty really you-should-see-a-docter bad,y,y,y
24,1445196347829735428,1445455689606844426,old,Do you think humans are meant to be monogamous?, i think humans are all meant to be different.,n,n,n
25,1510152850734788611,1510158575896825857,new,Do you believe in revenge?, yes....even god will revenge on all sinners one time for not towing the line,y,y,y
26,1450917556957687814,1450939245665923074,old,Do you believe career politicians have any right to exist?, that’s the thing with #freewill.,y,y,y
27,1497776152496140292,1497776675014131712,new,babysitting my friends kid and just said “we can watch youtube AFTER we find the cap to this marker.” do you think I would be a good dad?, you should probably just take the kids home with you tbh,y,y,y
28,1443243974412570624,1443244326436290566,old,Do you have a podcast?," no, and am getting flack for that. have friends busy inviting me as a guest.",n,n,n
29,1524744257483022336,1524745232352354304,new,POLL: Do you feel comfortable discussing pay transparency?," yes, i feel comfortable discussing pay transparency.",y,y,y
30,1456954520152551424,1457038513577336838,old,Do you think fireworks should be banned after a certain time?, think the oxford mail should be banned they are a virus in themselves,uk,uk,uk
31,1519669503801626625,1519670049866399756,new,At the salon and someone just said smile let me hear 😂 is it not supposed to be smile let me see?," this one no be like mistake ooo....abi na laugh she wan talk... 😂 

ifb",uk,uk,uk
32,1511856370156556298,1512081384495452173,new,Do you own a track saw?," no i do not, but i’d be willing to test one for you.",n,n,n
33,1463851004718366721,1466716198419247107,old,Does it get any better?, yes - as a vegetarian with a milk allergy this really doesn't do anything for me.,y,y,y
34,1461308689617403913,1461312769538633737,old,Is it possible that I twisted my ankle while I was sleeping?, i'm five years older and can hurt myself while sitting still so anything is possible.,y,y,y
35,1511340534782177291,1511342953062703118,new,Do you have an up-to-date will?," yes. single folks need to have their affairs in order, too.",y,y,y
