,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold_1,gold_2,gold_adj
0,1415407487528939522,1415568228261109764,old,Is it too much for a mosh call to be “put those vaccines to work”?, i just say “suck some toes mother fuckers”,n,uk,uk
1,1506565419313868802,1506582292986273797,new,"My name regularly gets autocorrected to ""Satanism"". Get a surprising number of messages addressed to it. Do you have an autocorrect hell?", “stephen” is changed every time to “stonehenge”,y,py,y
2,1402679421832630278,1402691499519668224,old,Do you like your real name?, ok ima be serious my name is really goofy,n,n,n
3,1498957736117211141,1498967702756638720,new,Do you still trust anything the media says?, don't trust the media for sh** especially news24,n,n,n
4,1450917556957687814,1450925938892427268,old,Do you believe career politicians have any right to exist?," not really.. it should be a 'stint', not a career.",n,n,n
5,1524059496733024256,1524059745111273473,new,"is it even a text about anything if u don't end it with a ""lol""?"," sometimes i mix it up and start it with a ""lol""",y,pn,pn
6,1450429884443004938,1450483617038315522,old,Do you still use a screen protector on your phone?," have a zflip 3, can't take mine off lol",y,y,y
7,1388016093432745987,1388242195421925377,old,is it just me of is there something absurdly inconsistent in railing against 'identity' while backing in 'the individual'?, i get a very vague whiff at what he is trying to do but it is decidedly un-christlike,uk,uk,uk
8,1523095596587909120,1523260745936343040,new,Veterans. Do you read me?," i do, never see a reply but i see your tweets.",y,y,y
9,1519855268414246913,1519863623090249729,new,Do you guys think money buys happiness?, money can buy things that makes you happy. 😊,py,y,py
10,1438208002742530049,1438208551021912074,old,Is it happening?, i feel like they need a game like this to make them a notch less cocky,y,y,y
11,1445069355310587908,1445069527725879304,old,Whatsapp not working. Is it just me ?," whatsapp, facebook and instagram ain't working only twitter💔💔",n,n,n
12,1513014027404087298,1513019023092592648,new,Do you still buy/carry Coach bags?," adore them and wear them often, i’m a coach outlet girl though.",y,y,y
13,1494922774112051201,1495142129957539847,new,Do you see now that it wasn’t about the bloody masks?, how can they see when they didnt read the instructions :p,pn,uk,n
14,1443855218819538946,1443855419546300421,old,Is it ok to have dinner now?," time isn't real, go have that dinner bestie",y,y,y
15,1524695363856191489,1527726630315114497,new,Do you want to change your relationship with drinking?, it’s strictly platonic.  i don’t want to get serious.,n,pn,n
16,1496258773568176129,1496267225342394377,new,Do you consider lying by omission Ie. Allowing someone to think something you know is untrue the same as lying?, sometimes you do that to avoid conflict or unnecessary ruffles,py,pn,pn
17,1494216517164351491,1494235578346672128,new,Do you know the difference between sensitivity and specificity?, this should be a true or false question 😉,uk,uk,uk
18,1513384448359731202,1513388058950844417,new,Do you Super Follow anyone yet?, i'm not gonna pay just to read tweets from anyone i follow.,n,n,n
19,1513977866748317696,1514049085686403077,new,"Is it not same rule that says if the ball hit any part of your body before touching your hand, it is not a foul?", he knows de rule but he want to turn a blank eye 👁️,y,py,y
