,gold
0,y
1,y
2,y
3,n
4,n
5,n
6,y
7,y
8,y
9,y
10,y
11,n
12,y
13,y
14,y
15,n
16,y
17,y
18,n
19,n
20,y
21,n
22,n
23,y
24,n
25,y
26,n
27,n
28,y
29,y
30,y
31,n
32,y
33,n
34,y
35,y
36,n
37,n
38,y
39,y
40,y
41,n
42,y
43,n
44,n
45,y
46,y
47,n
48,y
49,y
50,y
51,n
52,y
53,y
54,y
55,y
56,y
57,y
58,y
59,y
60,y
61,y
62,n
63,y
64,y
65,y
66,n
67,n
68,y
69,y
70,y
71,y
72,y
73,y
74,y
75,y
76,y
77,y
78,y
79,n
80,y
81,y
82,y
83,y
84,y
85,y
86,n
87,n
88,y
89,n
90,y
91,y
92,y
93,n
94,y
95,y
96,y
97,n
98,y
99,y
100,y
101,n
102,y
103,y
104,y
105,y
106,y
107,n
108,y
109,y
110,y
111,y
112,y
113,y
114,n
115,y
116,n
117,y
118,n
119,y
120,n
121,y
122,y
123,y
124,y
125,y
126,y
127,y
128,y
129,y
130,n
131,y
132,y
133,y
134,y
135,n
136,y
137,y
138,y
139,y
140,y
141,n
142,n
143,y
144,y
145,y
146,y
147,n
148,y
149,y
150,y
151,y
152,n
153,n
154,y
155,y
156,y
157,y
158,n
159,y
160,y
161,n
162,y
163,y
164,y
165,y
166,n
167,n
168,y
169,y
170,y
171,y
172,y
173,y
174,y
175,y
176,y
177,n
178,n
179,y
180,n
181,n
182,n
183,y
184,y
185,n
186,y
187,n
188,y
189,y
190,y
191,y
192,n
193,y
194,y
195,n
196,y
197,y
198,y
199,y
200,n
201,y
202,y
203,y
204,y
205,y
206,y
207,y
208,n
209,y
210,y
211,n
212,y
213,n
214,n
215,y
216,y
217,y
218,y
219,y
220,y
221,y
222,y
223,y
224,n
225,y
226,y
227,n
228,n
229,n
230,y
231,y
232,y
233,y
234,y
235,y
236,y
237,n
238,y
239,y
240,n
241,y
242,y
243,y
244,y
245,y
246,y
247,y
248,y
249,y
250,y
251,n
252,n
253,y
254,y
255,y
256,n
257,y
258,y
259,y
260,y
261,y
262,n
263,y
264,y
265,y
266,n
267,n
268,y
269,y
270,y
271,y
272,y
273,y
274,y
275,y
276,y
277,n
278,y
279,y
280,y
281,y
282,y
283,y
284,y
285,y
286,y
287,y
288,y
289,y
290,y
291,y
292,y
293,y
294,y
295,y
296,y
297,y
298,y
299,y
300,y
301,y
302,y
303,y
304,n
305,y
306,n
307,n
308,y
309,y
310,y
311,y
312,y
313,y
314,n
315,y
316,y
317,y
318,y
319,y
320,y
321,y
322,n
323,y
324,y
325,n
326,y
327,y
328,y
329,n
330,n
331,y
332,y
333,y
334,n
335,y
336,n
337,n
338,y
339,y
340,y
341,y
342,y
343,y
344,y
345,y
346,n
347,y
348,y
349,n
350,y
351,y
352,y
353,y
354,n
355,y
356,y
357,y
358,y
359,y
360,y
361,n
362,y
363,y
364,n
365,y
366,y
367,y
368,y
369,y
370,y
371,y
372,n
373,y
374,y
375,y
376,y
377,y
378,y
379,n
380,y
381,y
382,y
383,n
384,y
385,n
386,n
387,n
388,n
389,y
390,y
391,n
392,y
393,y
394,y
395,n
396,y
397,y
398,y
399,n
400,y
401,y
402,y
403,y
404,n
405,y
406,y
407,y
408,y
409,y
410,n
411,n
412,y
413,y
414,y
415,y
416,y
417,y
418,y
419,y
420,y
421,n
422,n
423,y
424,y
425,y
426,y
427,y
428,n
429,y
430,n
431,y
432,y
433,y
434,y
435,y
436,y
437,y
438,y
439,n
440,y
441,y
442,n
443,y
444,y
445,y
446,y
447,y
448,y
449,y
450,n
451,y
452,y
453,y
454,y
455,y
456,y
457,y
458,n
459,n
460,n
461,y
462,n
463,y
464,y
465,n
466,y
467,n
468,y
469,y
470,y
471,y
472,n
473,y
474,y
475,y
476,n
477,y
478,y
479,y
480,n
481,y
482,y
483,y
484,y
485,y
486,y
487,y
488,y
489,y
490,y
491,y
492,n
493,y
494,y
495,y
496,n
497,y
498,y
499,n
500,n
501,y
502,y
503,y
504,y
505,y
506,n
507,y
508,y
509,n
510,n
511,y
512,n
513,y
514,n
515,y
516,y
517,n
518,y
519,y
520,n
521,y
522,y
523,n
524,y
525,n
526,y
527,y
528,y
529,n
530,y
531,y
532,y
533,y
534,n
535,y
536,y
537,y
538,y
539,y
540,y
541,y
542,y
543,y
544,y
545,y
546,n
547,y
548,n
549,y
550,y
551,y
552,y
553,y
554,n
555,y
556,y
557,y
558,y
559,n
560,y
561,y
562,y
563,y
564,y
565,y
566,y
567,y
568,n
569,y
570,y
571,y
572,n
573,y
574,y
575,y
576,n
577,y
578,n
579,y
580,y
581,n
582,y
583,y
584,n
585,y
586,y
587,y
588,y
589,n
590,n
591,n
592,n
593,y
594,y
595,y
596,y
597,y
598,y
599,y
