,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold_1,gold_2,gold_adj
0,1529794531897614337,1529797807695138816,new,Do you think student loans should be forgiven?," no, unless there is a period of service to uncle sam in return.",pn,n,pn
1,1529578923331358722,1529584546102095872,new,Is it bad if your fart sounds gurgly?, don't know about bad...dangerous...yup,py,uk,py
2,1533912514131640321,1533933413840961536,new,Do you have confidence in the Prime Minister?, move on gmb. time to let our country heal.,py,py,py
3,1506565419313868802,1506566897428582406,new,"My name regularly gets autocorrected to ""Satanism"". Get a surprising number of messages addressed to it. Do you have an autocorrect hell?", i once had a boss who autocorrected to piglet,y,y,y
4,1517175103682973697,1517182016730517509,new,Do you have a calling in your life?," well i should hope so, otherwise there'd be birds all over my apartment.",py,py,py
5,1530457842645446657,1530460431847923712,new,Do you have my post notifications on my people?," yes, please just bless me for the weekend",y,y,y
6,1510152850734788611,1510153877097795585,new,Do you believe in revenge?, have a blessed sabbath learn to forgive al the time,n,pn,n
7,1496258773568176129,1496261201319411715,new,Do you consider lying by omission Ie. Allowing someone to think something you know is untrue the same as lying?, it is a lie but could also be acceptable when the truth would be harmful.,py,y,py
8,1529547853433020417,1529862891905622017,new,Do you think student loans should be forgiven entirely?," no. maybe an easier way to pay back, but total forgiveness, no.",n,n,n
9,1503787818929123331,1503789918664941568,new,Anyone still have a console from their childhood and does it still work?, still have my working nes and game boy,y,y,y
10,1516536935514132482,1516540609137283073,new,Do you eat all of the unfrosted edges of a Pop Tart before taking a bite of the frosted center?, didn't realize i/we were on the minority here,uk,py,uk
11,1522910344838008833,1522913701069795330,new,Do you think only people with a certain level of political knowledge should be allowed to vote?, only net tax payers should be able to vote,uk,py,py
12,1508968628191838209,1508971720769609729,new,Is it so hard to just be friendly?, for some people it sure seems to be,py,py,py
13,1531305341563985920,1531306452119433216,new,Do you have true courage?," i have, however you don’t know how you will react in every situation...",y,py,y
14,1522198827230535681,1522199105048653824,new,Do you have my post notifications on?, the off switch is bad so i can't turn it off,y,y,y
15,1497398833109561345,1497548678663446531,new,Is it wrong to ‘pay off’ my landlord with CBD treats?, it would be nice to pay my mortgage with a pound of #weed,n,uk,n
16,1529547853433020417,1531351894827966465,new,Do you think student loans should be forgiven entirely?, everyone needs to pay their bills regardless how long it takes.nothing is free.,n,n,n
17,1524897301336031233,1524901956556312576,new,Do you think LUNA made the market look worse than it actually is?, 110% elizabeth warren about to eat it up,uk,y,uk
18,1509576610919313410,1509619229431156744,new,Is it foolish to assume that people are always rational?, the keyword is within : #assume 🙌🤔,y,py,y
19,1533518089362591744,1533520057254420482,new,"Broke people: ""But does it make you happy?", thankfully i don't care. if your having fun... so what 🤙,uk,uk,uk
20,1494922774112051201,1494923021785735168,new,Do you see now that it wasn’t about the bloody masks?, but this is only a response because the people are refusing to accept tyranny!,py,uk,uk
21,1524264379356700672,1524380824254230528,new,Is it really an intro if it's the entire stream?," im not a fan of the long intros i must say, just personal criticism.",pn,uk,pn
22,1534348856879718400,1534848839290585088,new,Do you support Universal Background Checks for gun ownership?, it's hard for people in the uk to understand why there would be any objections,py,py,py
23,1529794531897614337,1529799414138675200,new,Do you think student loans should be forgiven?, i think you’re a troublemaker.,uk,uk,uk
24,1507066176920162304,1507101234322448391,new,is it legal to drive with ur titties out?, if it’s u yes! let me be in the car tho!,py,y,y
25,1529502995615846401,1529507095980126209,new,Do you care if your significant other makes more money than you?, unfortunately she doesn't... it would be great if she made more than me. 👍,n,n,n
26,1532019243025420289,1532019763425296384,new,Question. Is it ever acceptable to use the phrase PLATTY JOOBS?, i hope those excited about it enjoy their platty joobs if they must...,py,pn,pn
27,1501286835951079429,1501294315582091268,new,Do you think you'd be a better parent if you worked less?," yes

i wish there were jobs i could work only 2/3 days a week",y,y,y
28,1512894569825792003,1512989101057839107,new,Is it really that difficult to wear a mask in public during a pandemic?," if you’re still terrified of catching a cold, don’t leave your house.",y,y,y
29,1533518089362591744,1533519628982419457,new,"Broke people: ""But does it make you happy?", stop twitter trolling and deliver pulse chain already kek,uk,uk,uk
30,1519855268414246913,1519961532016529409,new,Do you guys think money buys happiness?, money can buy you happiness but it can't buy you relationship..,y,y,y
31,1513305899804336134,1513516783038341131,new,Do you use a podcast script?, nope! just smoke a bowl and go with the flow 😎,n,n,n
