,gold
0,py
1,uk
2,n
3,y
4,y
5,py
6,py
7,y
8,py
9,y
10,y
11,n
12,y
13,n
14,py
15,n
16,py
17,n
18,py
19,y
20,n
21,n
22,py
23,n
24,y
25,y
26,y
27,py
28,y
29,y
30,py
31,n
32,py
33,y
34,y
35,y
36,n
37,y
38,y
39,y
40,py
41,y
42,n
43,n
44,py
45,y
46,n
47,n
48,y
49,y
50,y
51,y
52,uk
53,n
54,y
55,n
56,n
57,py
58,n
59,y
60,py
61,y
62,y
63,y
64,uk
65,n
66,pn
67,y
68,py
69,y
70,y
71,py
72,n
73,py
74,y
75,y
76,n
77,py
78,y
79,y
80,y
81,y
82,y
83,n
84,uk
85,n
86,y
87,y
88,y
89,y
90,y
91,py
92,y
93,y
94,y
95,py
96,py
97,y
98,y
99,y
100,py
101,y
102,py
103,py
104,n
105,n
106,y
107,y
108,y
109,n
110,n
111,uk
112,y
113,py
114,uk
115,y
116,n
117,py
118,uk
119,n
120,n
121,y
122,uk
123,y
124,y
125,py
126,n
127,uk
128,y
129,py
130,y
131,py
132,uk
133,y
134,py
135,n
136,uk
137,y
138,py
139,n
140,y
141,y
142,y
143,y
144,y
145,y
146,uk
147,py
148,y
149,n
150,y
151,n
152,y
153,y
154,y
155,py
156,y
157,py
158,y
159,uk
160,y
161,py
162,py
163,py
164,y
165,y
166,py
167,py
168,y
169,py
170,y
171,y
172,y
173,py
174,y
175,py
176,n
177,y
178,py
179,y
180,py
181,n
182,n
183,py
184,y
185,y
186,y
187,n
188,y
189,y
190,y
191,n
192,n
193,y
194,n
195,py
196,py
197,y
198,py
199,y
200,y
201,y
202,y
203,py
204,y
205,py
206,n
207,py
208,n
209,py
210,n
211,y
212,n
213,n
214,n
215,py
216,y
217,n
218,py
219,py
220,y
221,py
222,py
223,n
224,y
225,py
226,y
227,y
228,y
229,py
230,py
231,y
232,y
233,uk
234,py
235,y
236,py
237,y
238,uk
239,py
240,y
241,py
242,y
243,py
244,y
245,y
246,py
247,y
248,n
249,y
250,n
251,y
252,n
253,y
254,y
255,n
256,n
257,py
258,y
259,n
260,y
261,y
262,uk
263,y
264,y
265,y
266,y
267,uk
268,y
269,n
270,uk
271,y
272,y
273,y
274,y
275,y
276,uk
277,n
278,y
279,py
280,uk
281,py
282,py
283,n
284,y
285,y
286,py
287,py
288,y
289,uk
290,py
291,y
292,n
293,py
294,y
295,y
296,py
297,y
298,y
299,y
300,y
301,y
302,y
303,y
304,y
305,py
306,y
307,y
308,y
309,py
310,y
311,uk
312,y
313,y
314,y
315,uk
316,n
317,y
318,y
319,n
320,py
321,y
322,y
323,py
324,uk
325,uk
326,y
327,py
328,y
329,y
330,y
331,y
332,y
333,n
334,n
335,py
336,n
337,y
338,y
339,y
340,y
341,y
342,n
343,py
344,y
345,n
346,y
347,n
348,y
349,n
350,y
351,py
352,n
353,y
354,y
355,y
356,n
357,y
358,n
359,y
360,n
361,py
362,py
363,y
364,uk
365,y
366,y
367,y
368,y
369,y
370,py
371,n
372,uk
373,y
374,y
375,n
376,y
377,y
378,y
379,n
380,y
381,py
382,n
383,y
384,uk
385,y
386,y
387,py
388,y
389,py
390,y
391,y
392,y
393,y
394,py
395,n
396,n
397,y
398,y
399,y
400,y
401,y
402,uk
403,y
404,py
405,py
406,y
407,n
408,py
409,n
410,py
411,y
412,py
413,py
414,n
415,y
416,y
417,uk
418,y
419,pn
420,y
421,n
422,y
423,y
424,py
425,y
426,y
427,py
428,py
429,y
430,y
431,n
432,y
433,y
434,py
435,py
436,y
437,y
438,py
439,py
440,n
441,y
442,y
443,uk
444,y
445,y
446,y
447,y
448,y
449,py
450,py
451,uk
452,y
453,y
454,y
455,y
456,y
457,y
458,y
459,y
460,y
461,n
462,y
463,uk
464,y
465,py
466,y
467,py
468,n
469,py
470,n
471,py
472,y
473,uk
474,y
475,y
476,y
477,y
478,n
479,n
480,y
481,y
482,py
483,y
484,y
485,y
486,py
487,y
488,y
489,y
490,y
491,y
492,y
493,y
494,uk
495,py
496,y
497,y
498,py
499,y
500,uk
501,n
502,y
503,y
504,py
505,n
506,py
507,py
508,py
509,y
510,n
511,py
512,n
513,py
514,uk
515,py
516,n
517,n
518,py
519,n
520,y
521,y
522,n
523,y
524,n
525,y
526,n
