,gold
0,n
1,uk
2,py
3,y
4,y
5,y
6,py
7,py
8,n
9,y
10,py
11,y
12,y
13,y
14,y
15,py
16,y
17,y
18,y
19,n
20,y
21,pn
22,uk
23,y
24,y
25,n
26,py
27,y
28,y
29,y
30,py
31,n
32,py
33,y
34,y
35,y
36,pn
37,y
38,y
39,n
40,y
41,y
42,y
43,n
44,y
45,n
46,y
47,py
48,pn
49,py
50,py
51,n
52,y
53,y
54,y
55,y
56,uk
57,y
58,py
59,n
60,py
61,y
62,y
63,py
64,y
65,y
66,y
67,y
68,y
69,y
70,y
71,n
72,y
73,py
74,y
75,py
76,py
77,y
78,pn
79,y
80,y
81,n
82,n
83,y
84,y
85,y
86,uk
87,y
88,n
89,y
90,pn
91,y
92,y
93,y
94,y
95,y
96,n
97,y
98,y
99,y
100,y
101,y
102,y
103,y
104,y
105,y
106,y
107,y
108,n
109,y
110,py
111,n
112,n
113,y
114,y
115,py
116,y
117,py
118,y
119,n
120,y
121,y
122,y
123,y
124,y
125,y
126,n
127,y
128,y
129,y
130,pn
131,y
132,uk
133,y
134,n
135,n
136,py
137,n
138,py
139,pn
140,y
141,uk
142,y
143,y
144,y
145,n
146,pn
147,n
148,y
149,n
150,y
151,n
152,y
153,n
154,y
155,y
156,py
157,py
158,y
159,y
160,y
161,y
162,uk
163,y
164,y
165,uk
166,pn
167,y
168,y
169,py
170,pn
171,y
172,y
173,uk
174,pn
175,y
176,y
177,pn
178,n
179,y
180,n
181,y
182,y
183,y
184,y
185,uk
186,y
187,y
188,y
189,pn
190,n
191,y
192,y
193,y
194,pn
195,y
196,y
197,y
198,y
199,py
200,y
201,y
202,py
203,y
204,y
205,py
206,n
207,y
208,py
209,y
210,pn
211,y
212,y
213,py
214,y
215,n
216,py
217,py
218,y
219,y
220,y
221,y
222,y
223,py
224,py
225,y
226,py
227,y
228,y
229,pn
230,y
231,py
232,pn
233,py
234,y
235,y
236,n
237,pn
238,n
239,y
240,pn
241,n
242,y
243,py
244,pn
245,y
246,y
247,y
248,py
249,n
250,y
251,y
252,y
253,y
254,y
255,y
256,y
257,y
258,n
259,n
260,y
261,py
262,uk
263,y
264,y
265,y
266,pn
267,y
268,y
269,y
270,y
271,py
272,y
273,py
274,y
275,n
276,py
277,py
278,y
279,uk
280,y
281,y
282,n
283,y
284,y
285,n
286,y
287,n
288,n
289,n
290,y
291,y
292,py
293,n
294,y
295,py
296,y
297,py
298,y
299,n
300,y
301,y
302,py
303,y
304,n
305,py
306,y
307,y
308,n
309,y
310,py
311,y
312,y
313,uk
314,n
315,y
316,y
317,py
318,y
319,y
320,y
321,y
322,y
323,y
324,py
325,y
326,y
327,y
328,n
329,py
330,pn
331,y
332,y
333,y
334,n
335,n
336,y
337,y
338,y
339,y
340,pn
341,pn
342,y
343,n
344,py
345,pn
346,n
347,y
348,y
349,py
350,n
351,y
352,y
353,y
354,y
355,py
356,y
357,uk
358,y
359,y
360,y
361,y
362,pn
363,n
364,y
365,y
366,y
367,n
368,y
369,y
370,py
371,y
372,y
373,y
374,y
375,y
376,y
377,n
378,y
379,y
380,pn
381,y
382,n
383,y
384,y
385,n
386,pn
387,py
388,py
389,uk
390,y
391,n
392,pn
393,uk
394,y
395,y
396,y
397,uk
398,pn
399,uk
400,y
401,y
402,uk
403,y
404,y
405,y
406,py
407,n
408,py
409,y
410,y
411,y
412,y
413,py
414,y
415,y
416,y
417,n
418,py
419,y
420,y
421,y
422,y
423,pn
424,py
425,n
426,y
427,py
428,y
429,y
430,y
431,y
432,y
433,py
434,y
435,pn
436,py
437,y
438,py
439,n
440,y
441,pn
442,pn
443,y
444,py
445,y
446,n
447,y
448,n
449,y
450,pn
451,pn
452,py
453,y
454,py
455,y
456,y
457,y
458,y
459,y
460,py
461,n
462,py
463,y
464,py
465,y
466,py
467,y
468,py
469,py
470,y
471,py
472,py
473,y
474,y
475,n
476,y
477,n
478,y
479,y
480,y
481,y
482,y
483,py
484,y
485,uk
486,py
487,y
488,py
489,y
490,y
491,y
492,y
493,pn
494,y
495,y
496,y
497,y
498,n
499,y
500,pn
501,py
502,y
503,uk
504,y
505,pn
506,y
507,y
508,y
509,y
510,n
511,py
512,y
513,n
514,py
515,n
516,py
517,y
518,y
519,py
520,y
521,pn
522,pn
523,y
524,y
525,y
526,n
527,y
528,uk
529,py
530,py
531,n
532,y
533,py
534,y
535,y
536,n
537,y
538,y
539,y
540,y
541,y
542,pn
543,n
544,y
545,y
546,py
547,y
548,py
549,pn
550,py
551,y
552,y
553,y
554,y
555,y
556,y
557,y
558,py
559,n
560,py
561,y
562,uk
563,y
564,n
565,y
566,y
567,n
568,y
569,pn
570,y
571,py
572,y
573,y
574,py
575,n
576,y
577,n
578,y
579,y
580,y
581,pn
582,y
583,y
584,n
585,y
586,y
587,py
588,y
589,y
590,y
591,y
592,y
593,pn
594,pn
595,py
596,y
597,pn
598,n
599,y
