,gold
0,uk
1,uk
2,n
3,y
4,y
5,n
6,n
7,y
8,y
9,y
10,y
11,n
12,y
13,n
14,n
15,n
16,n
17,n
18,py
19,y
20,n
21,n
22,n
23,n
24,n
25,n
26,n
27,y
28,n
29,n
30,n
31,n
32,n
33,y
34,y
35,y
36,n
37,y
38,n
39,py
40,uk
41,y
42,n
43,n
44,n
45,y
46,n
47,n
48,y
49,y
50,n
51,y
52,uk
53,n
54,y
55,n
56,uk
57,n
58,pn
59,n
60,y
61,n
62,y
63,y
64,y
65,n
66,pn
67,y
68,n
69,y
70,y
71,y
72,n
73,py
74,y
75,y
76,n
77,n
78,y
79,y
80,n
81,y
82,n
83,n
84,y
85,n
86,y
87,n
88,y
89,y
90,y
91,uk
92,y
93,y
94,uk
95,n
96,n
97,y
98,y
99,y
100,n
101,n
102,y
103,uk
104,n
105,n
106,y
107,n
108,py
109,n
110,n
111,uk
112,uk
113,n
114,uk
115,n
116,n
117,uk
118,uk
119,n
120,n
121,y
122,y
123,y
124,y
125,n
126,n
127,py
128,y
129,uk
130,y
131,y
132,uk
133,y
134,n
135,n
136,uk
137,n
138,n
139,n
140,y
141,y
142,y
143,y
144,y
145,y
146,uk
147,y
148,y
149,pn
150,n
151,n
152,y
153,y
154,py
155,y
156,y
157,py
158,y
159,uk
160,y
161,y
162,py
163,y
164,y
165,n
166,py
167,uk
168,y
169,n
170,n
171,y
172,py
173,y
174,y
175,n
176,n
177,y
178,py
179,y
180,y
181,n
182,n
183,uk
184,y
185,py
186,y
187,n
188,py
189,y
190,py
191,n
192,n
193,py
194,n
195,uk
196,n
197,y
198,y
199,n
200,y
201,y
202,n
203,py
204,y
205,y
206,uk
207,uk
208,y
209,n
210,n
211,y
212,n
213,n
214,n
215,n
216,uk
217,n
218,uk
219,uk
220,y
221,y
222,n
223,n
224,y
225,n
226,py
227,n
228,y
229,py
230,n
231,n
232,y
233,py
234,n
235,n
236,uk
237,y
238,uk
239,y
240,y
241,n
242,py
243,n
244,y
245,y
246,y
247,y
248,n
249,y
250,n
251,y
252,y
253,y
254,y
255,py
256,n
257,uk
258,uk
259,n
260,y
261,y
262,uk
263,y
264,n
265,y
266,uk
267,y
268,y
269,n
270,uk
271,n
272,y
273,y
274,y
275,y
276,uk
277,n
278,y
279,y
280,uk
281,y
282,uk
283,n
284,y
285,y
286,py
287,y
288,y
289,uk
290,y
291,n
292,n
293,y
294,y
295,y
296,uk
297,n
298,y
299,y
300,n
301,y
302,y
303,y
304,y
305,uk
306,y
307,y
308,y
309,uk
310,y
311,n
312,y
313,y
314,y
315,uk
316,n
317,y
318,y
319,n
320,n
321,y
322,y
323,n
324,n
325,n
326,n
327,uk
328,y
329,n
330,uk
331,y
332,y
333,n
334,n
335,n
336,n
337,py
338,uk
339,y
340,y
341,y
342,n
343,n
344,y
345,n
346,y
347,n
348,y
349,n
350,y
351,y
352,n
353,py
354,y
355,y
356,uk
357,n
358,n
359,y
360,n
361,y
362,y
363,uk
364,uk
365,y
366,y
367,y
368,y
369,y
370,n
371,n
372,n
373,n
374,y
375,n
376,y
377,y
378,py
379,n
380,y
381,n
382,n
383,y
384,n
385,n
386,y
387,uk
388,y
389,n
390,y
391,y
392,py
393,y
394,y
395,n
396,py
397,py
398,y
399,y
400,uk
401,y
402,n
403,y
404,n
405,y
406,y
407,n
408,y
409,n
410,y
411,n
412,y
413,y
414,n
415,uk
416,n
417,uk
418,y
419,y
420,uk
421,n
422,y
423,uk
424,py
425,y
426,y
427,n
428,uk
429,y
430,py
431,n
432,uk
433,n
434,py
435,y
436,y
437,y
438,py
439,uk
440,n
441,n
442,y
443,uk
444,y
445,y
446,y
447,y
448,y
449,py
450,y
451,n
452,n
453,y
454,y
455,y
456,y
457,y
458,y
459,y
460,y
461,pn
462,y
463,uk
464,y
465,n
466,y
467,y
468,n
469,y
470,n
471,n
472,uk
473,uk
474,uk
475,y
476,y
477,y
478,n
479,n
480,y
481,y
482,y
483,y
484,n
485,y
486,y
487,y
488,y
489,y
490,y
491,y
492,uk
493,y
494,y
495,y
496,py
497,y
498,n
499,y
500,uk
501,pn
502,y
503,y
504,y
505,n
506,n
507,y
508,y
509,y
510,uk
511,y
512,n
513,n
514,n
515,y
516,n
517,n
518,n
519,n
520,y
521,y
522,n
523,y
524,n
525,y
526,n
