,result
0,pn
1,pn
2,n
3,uk
4,y
5,y
6,uk
7,uk
8,n
9,y
10,uk
11,pn
12,y
13,uk
14,y
15,y
16,n
17,y
18,uk
19,uk
20,uk
21,uk
22,y
23,uk
24,y
25,y
26,y
27,y
28,uk
29,uk
30,pn
31,uk
32,uk
33,y
34,y
35,uk
36,uk
37,uk
38,py
39,y
40,n
41,y
42,n
43,y
44,uk
45,uk
46,pn
47,pn
48,y
49,uk
50,y
51,uk
52,uk
53,y
54,uk
55,y
56,uk
57,y
58,uk
59,n
60,n
61,uk
62,y
63,y
64,y
65,y
66,uk
67,y
68,n
69,y
70,y
71,uk
72,y
73,y
74,y
75,y
76,uk
77,uk
78,uk
79,y
80,uk
81,uk
82,n
83,n
84,y
85,y
86,uk
87,uk
88,n
89,y
90,uk
91,y
92,y
93,n
94,uk
95,y
96,y
97,y
98,uk
99,uk
100,y
101,py
102,y
103,uk
104,uk
105,n
106,y
107,y
108,uk
109,uk
110,uk
111,y
112,uk
113,uk
114,uk
115,y
116,uk
117,py
118,py
119,n
120,uk
121,uk
122,y
123,y
124,y
125,y
126,uk
127,y
128,y
129,uk
130,n
131,y
132,uk
133,y
134,y
135,uk
136,y
137,pn
138,uk
139,n
140,uk
141,uk
142,y
143,y
144,y
145,y
146,n
147,py
148,uk
149,y
150,uk
151,n
152,y
153,n
154,y
155,y
156,uk
157,uk
158,uk
159,n
160,y
161,uk
162,uk
163,uk
164,y
165,uk
166,n
167,y
168,uk
169,uk
170,uk
171,y
172,n
173,uk
174,uk
175,y
176,y
177,uk
178,n
179,uk
180,n
181,pn
182,uk
183,uk
184,y
185,uk
186,y
187,y
188,uk
189,n
190,uk
191,y
192,n
193,y
194,uk
195,y
196,y
197,y
198,uk
199,uk
200,uk
201,uk
202,uk
203,y
204,n
205,uk
206,y
207,uk
208,uk
209,y
210,y
211,py
212,y
213,pn
214,uk
215,n
216,y
217,y
218,uk
219,uk
220,uk
221,uk
222,y
223,py
224,y
225,y
226,uk
227,y
228,uk
229,n
230,y
231,uk
232,uk
233,uk
234,y
235,y
236,n
237,uk
238,pn
239,y
240,uk
241,n
242,uk
243,uk
244,uk
245,n
246,y
247,uk
248,uk
249,y
250,y
251,uk
252,y
253,y
254,y
255,y
256,y
257,y
258,y
259,n
260,uk
261,uk
262,uk
263,y
264,y
265,uk
266,y
267,uk
268,y
269,y
270,y
271,uk
272,uk
273,n
274,uk
275,uk
276,uk
277,y
278,y
279,uk
280,uk
281,uk
282,n
283,uk
284,y
285,n
286,y
287,n
288,y
289,n
290,uk
291,y
292,uk
293,uk
294,n
295,y
296,y
297,uk
298,y
299,n
300,y
301,uk
302,uk
303,uk
304,n
305,uk
306,y
307,y
308,n
309,y
310,uk
311,y
312,n
313,uk
314,y
315,y
316,uk
317,uk
318,py
319,y
320,n
321,y
322,y
323,n
324,uk
325,y
326,y
327,uk
328,n
329,y
330,y
331,y
332,y
333,uk
334,n
335,n
336,y
337,uk
338,uk
339,y
340,uk
341,n
342,y
343,uk
344,uk
345,uk
346,n
347,n
348,uk
349,n
350,uk
351,y
352,y
353,y
354,y
355,y
356,y
357,uk
358,n
359,y
360,y
361,uk
362,uk
363,y
364,uk
365,uk
366,y
367,n
368,y
369,uk
370,uk
371,uk
372,uk
373,y
374,y
375,y
376,y
377,n
378,y
379,uk
380,n
381,py
382,n
383,uk
384,uk
385,n
386,n
387,y
388,y
389,uk
390,y
391,n
392,n
393,uk
394,uk
395,uk
396,uk
397,uk
398,py
399,uk
400,y
401,y
402,uk
403,y
404,y
405,uk
406,uk
407,uk
408,uk
409,y
410,uk
411,uk
412,y
413,py
414,n
415,pn
416,y
417,uk
418,y
419,uk
420,y
421,y
422,uk
423,uk
424,y
425,n
426,y
427,uk
428,y
429,n
430,y
431,uk
432,y
433,uk
434,y
435,uk
436,uk
437,uk
438,y
439,n
440,y
441,n
442,uk
443,uk
444,uk
445,y
446,n
447,uk
448,n
449,uk
450,y
451,y
452,uk
453,y
454,uk
455,uk
456,y
457,y
458,y
459,y
460,uk
461,n
462,py
463,y
464,uk
465,y
466,uk
467,y
468,y
469,uk
470,y
471,uk
472,y
473,n
474,y
475,uk
476,y
477,n
478,n
479,y
480,y
481,uk
482,uk
483,uk
484,y
485,uk
486,uk
487,y
488,uk
489,y
490,n
491,pn
492,y
493,pn
494,uk
495,y
496,y
497,y
498,uk
499,uk
500,uk
501,n
502,y
503,uk
504,uk
505,uk
506,n
507,y
508,y
509,y
510,n
511,uk
512,pn
513,pn
514,y
515,uk
516,pn
517,y
518,uk
519,uk
520,y
521,uk
522,n
523,uk
524,y
525,uk
526,n
527,uk
528,uk
529,uk
530,n
531,uk
532,uk
533,py
534,uk
535,y
536,n
537,uk
538,n
539,y
540,y
541,uk
542,uk
543,uk
544,pn
545,y
546,uk
547,uk
548,uk
549,uk
550,y
551,y
552,y
553,uk
554,pn
555,y
556,y
557,uk
558,uk
559,n
560,y
561,uk
562,uk
563,y
564,y
565,y
566,y
567,n
568,uk
569,n
570,y
571,uk
572,uk
573,uk
574,uk
575,y
576,uk
577,uk
578,y
579,y
580,n
581,y
582,y
583,pn
584,n
585,uk
586,y
587,uk
588,y
589,y
590,y
591,uk
592,y
593,uk
594,y
595,uk
596,y
597,y
598,n
599,y
