,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold_1,gold_2,gold_adj
0,1505591204783734785,1505605176140472320,new,"Ladies, if a man gives you a Family heirloom ring but y’all break up, do you give it back?", depends on why we broke up bc petty match petty n ill win,uk,pn,uk
1,1471985146891059206,1471985474621173763,old,I got your back. Do you got mine?, idk but u should cashapp me $plasmanaw,uk,uk,uk
2,1465064127399870467,1465229350660284417,old,Is it time to put our combat boots on?, not yet...there will be no choice when they come hard after the 2a,n,n,n
3,1524647970611863553,1524648652886757376,new,Do you read the acknowledgments page of a book?, i do - love the little snippets of author’s lives,y,y,y
4,1506565419313868802,1506577193626918918,new,"My name regularly gets autocorrected to ""Satanism"". Get a surprising number of messages addressed to it. Do you have an autocorrect hell?", i managed to text my french electrician calling him monstre instead of monsieur 😱,y,y,y
5,1416480777106251793,1416494278302384132,old,POLL: Have you been vaccinated/do you plan to be vaccinated?, i’m trying to hold out until they pay me to get it,py,n,py
6,1507889736362475522,1508083507158990850,new,Is it too much to ask the coaches to wear suits again?," how about no numbers, seeing the yanks are running out of double digit numbers.",uk,uk,uk
7,1519855268414246913,1519866363187245056,new,Do you guys think money buys happiness?," yes , just because of money i could not sleep all night",n,y,y
8,1402787769395548160,1402806848974098435,old,Do you think it is rude to say to somebody you would look better if you lost weight?," ""and you'd look better with another face"" usually shuts them up.",y,y,y
9,1527318225196707842,1527547789856710657,new,Do you think cursive writing should still be taught in school?," yes i don't print , i only cursive write .",y,y,y
10,1524121249118666752,1524132358991056898,new,Do you think political Evangelicals destroyed their credibility forever?," that assumes that the had credibility before, which on my opinion they never had to begin with",n,y,n
11,1424056943270825984,1424074597817802755,old,do you guys drink alcohol in front of your parents hey?, nope ! i only store alcohol in her fridge and come for refills,n,n,n
12,1434721504588091394,1434721813578268676,old,"FSU fans, do you want to talk about it?", fsu loses on bobby bowden night at ron zook field. 😂,y,y,y
13,1468257975047499779,1468291927707734018,old,Is it socially acceptable to conduct loud FaceTime calls on public transport?," no, that’s a pet peeve of mine. nobody wants to hear that",n,n,n
14,1506627298447052811,1506687075382448131,new,Is it too early to be eating tacos?, tacos are like happy hour….it can always happen!,n,n,n
15,1390237016776925187,1390252381196128257,old,Do you smoke?, no. i've smoked a cigar before but that's it.,n,n,n
16,1494724608313933829,1495005417063256069,new,Do you even have a cat if you haven’t searched “does my cat love me”?, you can never have a cat 🐈 but the cat can have you ☺️,uk,uk,uk
17,1458728812368338946,1458813950359973895,old,Do you work in coffee?," no, but i don’t work without it. 🤓",y,n,n
18,1534840680257921024,1534888066497773568,new,I like the idea of boycotting companies that bankroll the tories. Is it workable?, it might be effective if one at a time was targeted.,py,py,py
19,1470926916383346690,1470927020477632516,old,Do you Enjoy Basketball?, yes but i do not like the way my team is ran currently,y,y,y
20,1450544782594424841,1450545824375746576,old,Do you think shops should be selling fireworks ahead of bonfire night?, no they should be sound free or only sold to large events,n,n,n
21,1519855268414246913,1519855389763936257,new,Do you guys think money buys happiness?," no, but it sure can thwart off alot of things that can cause sadness !!!",n,pn,pn
22,1506834667936391173,1506835126717759495,new,Is it weird to buy my sister a massage?, better off buyin than giving her the massage yourself….. #familylove,n,pn,n
23,1414727400806658048,1414728092292112385,old,"Genuine question, is it possible to order vinyl and not get really excited?"," no.  and if it is, that person shouldn't be allowed to order vinyl haha",n,n,n
24,1402679421832630278,1402691499519668224,old,Do you like your real name?, ok ima be serious my name is really goofy,n,n,n
25,1512595116455710723,1512595820499161094,new,"Sometimes, do you ever feel too doggone tired to eat?"," never. to cook or heat something up, yes. but to eat, nope.",n,n,n
26,1381730321004175361,1381982218889822217,old,Is it illegal to hang air fresheners from a car's rear view mirror?," pretty much nothing should hang there when driving, even your handicap placards or fuzzy dice.",py,y,y
27,1497519871462363142,1497522025996316675,new,Do you have the courage to be disliked?, everyone can be liked if only they open up and talk to each other.,py,uk,uk
28,1505591204783734785,1505594365552386048,new,"Ladies, if a man gives you a Family heirloom ring but y’all break up, do you give it back?"," it’s not yours to keep , you not family no more",y,y,y
29,1449419678028234753,1449488688283521024,old,Do you have any weird things that you’re really really good at?, i am really good at being able to focus during chaos...,y,y,y
30,1440938644873879552,1440940141049225216,old,"Is it about time that the gender-neutral term ""batter"" should be used in cricket?", we will be changing the word human next!,y,n,n
31,1450917556957687814,1450925938892427268,old,Do you believe career politicians have any right to exist?," not really.. it should be a 'stint', not a career.",n,n,n
32,1461624625922719745,1461629366698496001,old,Is it still legal to be pro-vaccines but against vaccine mandates?, legal but pretty daft to be pro bioweapon,y,y,y
33,1508968628191838209,1508971720769609729,new,Is it so hard to just be friendly?, for some people it sure seems to be,py,py,py
34,1445582067069116416,1445582468094959618,old,Do you ever fart and surprise yourself?," yes, just before. thought it was going to be silent and it rumbled my entire chair",y,y,y
35,1505833481619787776,1505869216754413570,new,"Do You find that even though so much is happening in and around our lives, it still feels like ground hog day?", i believe we must be twins !!!! 🌸,y,y,y
36,1424421758732537861,1424424002852884480,old,Is it too early to pull him?, nope! i won’t wait for the game to be one side.,n,n,n
37,1521931110589947904,1521934937733050368,new,Do you think it’s possible to have true balance in life?, anything is possible if you believe in it and understand it,y,y,y
38,1533812172983263232,1533812977295671296,new,Do you have a tattoo?, i used to when a child. it would rub off with water,n,n,n
39,1526559173063974912,1526559451313938432,new,Is it so hard to denounce white nationalism?," if you need their votes to win an election, yes.",py,py,py
40,1533518089362591744,1533518766595776515,new,"Broke people: ""But does it make you happy?", it’s basically a meme now 😆,uk,uk,uk
41,1500989413559611401,1501002095591186433,new,I’m curious. Do you think every state should accept mail-in ballots in every election?, as someone who lives in a state with mail in voting. i highly recommend it!,y,y,y
42,1530564939634573312,1530567952491323392,new,i’ve never had culver’s. is it really worth all the twitter hype?, me neither but i might have it today,py,uk,uk
43,1526563164481019904,1526568179589316610,new,Do you believe UFOs exist?, we prefer you don't believe in us.,uk,uk,uk
44,1434721504588091394,1434725262223085568,old,"FSU fans, do you want to talk about it?"," naw, you can keep savoring that big win over...fau.",n,n,n
45,1503787818929123331,1503789068810743809,new,Anyone still have a console from their childhood and does it still work?, i am 29 and still have a ps2,y,y,y
46,1495593777020514305,1495615190028947457,new,Do you mix your laundry with your significant other?," no, but i do mix mine and my 1 year olds clothes",n,n,n
47,1498846242951950336,1498846927378698241,new,Do you feel rescued?," no, but i’m entertained!

more wine, please!

#sotu",n,n,n
48,1518730408333963264,1518902589915598850,new,Do you think this is the beginning of the end for twitter?," of course, the libturds here will blindly say yes.",y,uk,n
49,1499019801351663624,1499023468691697667,new,Do you think a joint account as husband and wife makes sense ?, it does wen the couple have sense..,py,y,py
50,1533489423370928128,1533524529271779335,new,Is it over yet?, the #platinumjubilee is like a headache. it'll be lovely when it's over.,n,n,n
51,1506683109076611079,1506690642876973058,new,"All we want is a government that cares about people. All of the people. It’s not complicated, is it?"," it is for #tories who only want rich to live and prosper!
#johnsonout58",py,uk,py
52,1427455786402291735,1427456101889450000,old,do you say bestie?, wait arent you guys supposed to be asleep- 😃,uk,uk,uk
53,1496618534369169410,1496631523155533825,new,Do you believe in love at first sight?, not anymore. that shit isn’t real,n,n,n
54,1525139728139530240,1525146576951312385,new,Do you recycle?, 100% yes and i publish an online magazine about living an eco balanced lifestyle 😁,y,y,y
