,Unnamed: 0,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold,prompt,gpt3_out,clean_reason
0,0,1405239839725965321,1405248270834798595,old,Do you think anyone will get my point if I walk into the grocery store with a mask but no shoes?," you probably need to skip the shirt, too.",pn,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you think anyone will get my point if I walk into the grocery store with a mask but no shoes?
Answer: you probably need to skip the shirt, too.","

The given answer can be interpreted as ""no."", because the answerer does not think that anyone will get the point if the person walks into the grocery store with a mask but no shoes.", does not think that anyone will get the point if the person walks into the grocery store with a mask but no shoes
1,1,1409374689877663744,1409379627013971969,old,Does it make me egotistical if I can't be bothered to care about people that are egotistical?, nah bro that’s the right way to handle ppl like that,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Does it make me egotistical if I can't be bothered to care about people that are egotistical?
Answer: nah bro that’s the right way to handle ppl like that","
The given answer can be interpreted as ""no."", because the answerer believes that it is better to not care about people who are egotistical.", believes that it is better to not care about people who are egotistical
2,2,1436416194496512001,1436419791355617281,old,Do you guys remember jeggings?, 11 year old me was so obsessed makes me want to d word,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you guys remember jeggings?
Answer: 11 year old me was so obsessed makes me want to d word","

The answer to this question is unclear, as the responder does not directly answer the question.","

the answer to this question is unclear, as the responder does not directly answer the question"
3,3,1459690192596471809,1459725771786756102,old,Is it normal to write book chapters out of order?, yes. i write everything backwards with brief forays into forwards.,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it normal to write book chapters out of order?
Answer: yes. i write everything backwards with brief forays into forwards.","

The given answer can be interpreted as ""yes."", because the answerer says that he or she writes book chapters out of order.", says that he or she writes book chapters out of order
4,4,1412123585024606215,1412207520140103681,old,Do you think whoever invented burpees has friends?, not if they made them do them 😂,pn,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you think whoever invented burpees has friends?
Answer: not if they made them do them 😂","
The given answer can be interpreted as ""no."", because the answerer implies that the inventor of burpees does not have friends.", implies that the inventor of burpees does not have friends
5,5,1449521307205480448,1449539562397655042,old,Do you love your college football team more than you hate you rival?, my love hate relationship is equal for my own team. go pokes,n,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you love your college football team more than you hate you rival?
Answer: my love hate relationship is equal for my own team. go pokes","!
The given answer can be interpreted as ""yes."", because the answerer's love and hate for his or her team is equal.",'s love and hate for his or her team is equal
6,6,1410610112679485446,1410621526538285063,old,Do you ever just wanna give up and cry your way out of life?, surrender all to god it all be worth it... 💕🥰,y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you ever just wanna give up and cry your way out of life?
Answer: surrender all to god it all be worth it... 💕🥰","

The given answer can be interpreted as ""no"", because the answerer mentions that they would never want to give up, and that everything will eventually be worth it."," mentions that they would never want to give up, and that everything will eventually be worth it"
7,7,1439730827684892673,1439731125191122945,old,"Chargers fans, do you want to talk about it?"," chargers won't win more than 6 games, their current team can barely put up 20 points",y,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Chargers fans, do you want to talk about it?
Answer: chargers won't win more than 6 games, their current team can barely put up 20 points"," a game
The given answer can be interpreted as ""no."", because the Chargers fans don't want to talk about how the team is doing."," a game
the given answer can be interpreted as ""no."", because the chargers fans don't want to talk about how the team is doing"
8,8,1445355741183979528,1445369825719640064,old,Is it normal practice for psychiatrists to charge just to write up a follow-up prescription?, mine doesn't but idk what's normal,uk,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Is it normal practice for psychiatrists to charge just to write up a follow-up prescription?
Answer: mine doesn't but idk what's normal","
The given answer can be interpreted as ""no."", because the answerer says that their psychiatrist doesn't charge for follow-up prescriptions, implying that this may not be normal practice."," says that their psychiatrist doesn't charge for follow-up prescriptions, implying that this may not be normal practice"
9,9,1406628758195478534,1406734054830096397,old,Do you shout “FORE” if your golf ball is heading towards people?, he’s just put it into fans on par 3 and no shout!,pn,"Question: Do you have any weird things that you’re really really good at?
Answer: i can balance things, like tennis rackets or golf clubs, on my nose. 
The given answer can be interpreted as ""yes."", because the answerer mentions a list of weird things he or she is really good at.

Question: Do you shout “FORE” if your golf ball is heading towards people?
Answer: he’s just put it into fans on par 3 and no shout!","
The given answer can be interpreted as ""no."", because the answerer says that he has not shouted ""FORE"" when his golf ball was heading towards people."," says that he has not shouted ""fore"" when his golf ball was heading towards people"
