,gold
0,py
1,uk
2,n
3,y
4,y
5,n
6,uk
7,y
8,n
9,n
10,y
11,n
12,n
13,n
14,n
15,n
16,n
17,n
18,py
19,y
20,n
21,n
22,n
23,n
24,n
25,n
26,n
27,y
28,n
29,y
30,n
31,n
32,y
33,y
34,y
35,uk
36,n
37,py
38,y
39,py
40,uk
41,y
42,n
43,n
44,n
45,y
46,n
47,n
48,y
49,y
50,uk
51,n
52,uk
53,n
54,y
55,n
56,n
57,uk
58,n
59,uk
60,y
61,y
62,n
63,y
64,n
65,n
66,n
67,y
68,uk
69,y
70,y
71,uk
72,n
73,n
74,uk
75,n
76,n
77,uk
78,uk
79,n
80,n
81,y
82,y
83,n
84,n
85,n
86,n
87,n
88,y
89,y
90,y
91,uk
92,py
93,uk
94,y
95,uk
96,uk
97,y
98,y
99,n
100,n
101,y
102,y
103,n
104,n
105,n
106,y
107,uk
108,n
109,n
110,n
111,uk
112,y
113,uk
114,uk
115,n
116,n
117,uk
118,uk
119,n
120,n
121,y
122,uk
123,y
124,y
125,uk
126,n
127,py
128,y
129,n
130,y
131,y
132,n
133,y
134,n
135,n
136,uk
137,n
138,uk
139,n
140,y
141,n
142,n
143,y
144,y
145,y
146,uk
147,n
148,uk
149,n
150,n
151,n
152,y
153,y
154,n
155,n
156,uk
157,n
158,y
159,uk
160,y
161,y
162,n
163,uk
164,uk
165,n
166,y
167,uk
168,y
169,n
170,n
171,y
172,y
173,n
174,y
175,uk
176,n
177,y
178,n
179,y
180,n
181,n
182,n
183,uk
184,y
185,py
186,n
187,n
188,py
189,y
190,py
191,n
192,n
193,y
194,n
195,n
196,n
197,n
198,n
199,uk
200,y
201,y
202,n
203,py
204,n
205,py
206,n
207,uk
208,n
209,uk
210,n
211,y
212,n
213,n
214,n
215,uk
216,uk
217,n
218,uk
219,uk
220,y
221,n
222,n
223,n
224,y
225,uk
226,py
227,n
228,y
229,py
230,py
231,y
232,y
233,n
234,n
235,uk
236,uk
237,y
238,uk
239,uk
240,y
241,n
242,n
243,n
244,y
245,y
246,uk
247,y
248,n
249,uk
250,n
251,uk
252,n
253,y
254,y
255,py
256,n
257,uk
258,uk
259,n
260,n
261,y
262,uk
263,y
264,n
265,n
266,uk
267,uk
268,y
269,n
270,uk
271,uk
272,n
273,y
274,y
275,y
276,n
277,n
278,n
279,uk
280,uk
281,uk
282,uk
283,n
284,n
285,y
286,y
287,uk
288,y
289,uk
290,n
291,n
292,n
293,n
294,y
295,y
296,n
297,uk
298,y
299,y
300,y
301,y
302,y
303,y
304,y
305,uk
306,y
307,y
308,y
309,uk
310,n
311,uk
312,uk
313,y
314,y
315,uk
316,n
317,y
318,y
319,n
320,y
321,n
322,y
323,n
324,n
325,uk
326,y
327,uk
328,uk
329,y
330,uk
331,n
332,y
333,n
334,n
335,n
336,n
337,uk
338,uk
339,uk
340,y
341,n
342,n
343,uk
344,uk
345,n
346,uk
347,n
348,y
349,n
350,uk
351,uk
352,n
353,y
354,y
355,n
356,n
357,n
358,n
359,n
360,n
361,n
362,n
363,y
364,n
365,y
366,y
367,y
368,y
369,n
370,n
371,n
372,uk
373,n
374,y
375,uk
376,y
377,n
378,y
379,n
380,uk
381,n
382,n
383,y
384,n
385,n
386,y
387,uk
388,y
389,uk
390,y
391,n
392,py
393,y
394,y
395,n
396,n
397,y
398,n
399,n
400,y
401,y
402,n
403,y
404,uk
405,n
406,y
407,n
408,uk
409,n
410,y
411,uk
412,n
413,y
414,n
415,y
416,n
417,uk
418,y
419,n
420,uk
421,n
422,y
423,n
424,uk
425,y
426,y
427,uk
428,n
429,py
430,py
431,n
432,uk
433,n
434,py
435,n
436,n
437,y
438,py
439,uk
440,n
441,n
442,y
443,uk
444,y
445,y
446,y
447,uk
448,y
449,py
450,uk
451,n
452,n
453,y
454,y
455,y
456,y
457,y
458,uk
459,n
460,y
461,n
462,y
463,uk
464,y
465,uk
466,n
467,n
468,n
469,y
470,n
471,y
472,y
473,uk
474,y
475,y
476,y
477,y
478,n
479,n
480,y
481,y
482,uk
483,y
484,uk
485,y
486,uk
487,uk
488,y
489,y
490,n
491,y
492,n
493,y
494,n
495,y
496,uk
497,n
498,n
499,y
500,y
501,n
502,py
503,n
504,y
505,n
506,uk
507,n
508,uk
509,uk
510,n
511,n
512,n
513,y
514,uk
515,uk
516,n
517,n
518,uk
519,n
520,n
521,y
522,n
523,y
524,n
525,y
526,n
