,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold_1,gold_2,gold_adj
0,1500540062915825665,1500554547319640065,new,Is it reassuring to know there are twats everywhere!?, at your age you should know better dear lol 😘 #og,uk,y,y
1,1524121249118666752,1524133219641270273,new,Do you think political Evangelicals destroyed their credibility forever?, i don't think they ever had it.,y,n,y
2,1507889736362475522,1508110998842277889,new,Is it too much to ask the coaches to wear suits again?," that would look very out of place in the modern baseball dugout, sweeny",y,y,y
3,1509322461187301377,1509326322010660867,new,Do you own any NFTs?, most of us need our money to prepare for the coming summer of hunger and famine.,y,n,n
4,1497519871462363142,1497523093488607232,new,Do you have the courage to be disliked?," once you stop caring about the outside noise, they can't disturb your inner peace.",y,y,y
5,1470926916383346690,1470927118074851330,old,Do you Enjoy Basketball?, this year no. idk i used to but now idk sorta over it,pn,n,pn
6,1518841104149487616,1519000621281464320,new,Do you consider it acceptable for white people to say “white lives matter?," no one has to say it, it's clear.",y,n,n
7,1442302030958182402,1442304904786231297,old,Do you believe we are at critical mass?, not a bad idea to have lots of extra ammo and clean weapons,n,py,py
8,1471504505954918415,1471504775615115272,old,Do you believe a biological male athlete should be able to compete in women’s sports if he decides to change his gender to a woman?, i believe that this is a ridiculous thing to be worrying about.,n,uk,uk
9,1529620582026862592,1529794445285130247,new,Do you think student loans should be forgiven?," absolutely not. you made the bill, you pay the bill. stop expecting handouts.",n,n,n
10,1526559173063974912,1526559468414279680,new,Is it so hard to denounce white nationalism?, i suggest we replace anyone in congress who even mentions “replacement theory.”,n,py,py
11,1439972449777500160,1439975555504422927,old,Do you still wear a mask?, no way. never again. those days are behind me.,n,n,n
12,1411546362450042881,1411547213508063232,old,Do you believe in reincarnation ?, i do. i believe in anything imaginable someplace out there.,y,y,y
13,1509322461187301377,1509337397871497219,new,Do you own any NFTs?, just the one. a book games token that i’m hoping to sell this week,y,y,y
14,1507889736362475522,1508044518381215747,new,Is it too much to ask the coaches to wear suits again?, now they won’t even do it for the final four because it might change their luck,uk,y,uk
15,1526559173063974912,1526560359020081153,new,Is it so hard to denounce white nationalism?, it can be tricky to spell for maga.,y,y,y
16,1415752260479508495,1415760968462880779,old,"Looking at all these recount results I gotta wonder, is it possible to recall a president?"," i believe treason can be considered a ""high crime"" along with misdemeanors",y,n,n
17,1531417724584353793,1531420175085539329,new,Do you believe we are living in the Biblical end times?, i said no because things will get even worse!!,n,py,py
18,1507889736362475522,1507889941535244292,new,Is it too much to ask the coaches to wear suits again?," would be much better in baseball, connie mack style.",py,py,py
19,1405289153571426304,1405291459314548739,old,"If a doge barks on the moon and no one is around to hear it, does it make a sound?"," yes, but it doesn't matter because a doge is never alone 😁",y,y,y
20,1506834667936391173,1506853929119797252,new,Is it weird to buy my sister a massage?, under normal circumstances no but with your accent and hair cut… i don’t recommend it.,n,y,y
21,1531417724584353793,1531474426025463808,new,Do you believe we are living in the Biblical end times?, humans for generations have thought the end times would happen in their lifetime.,y,pn,pn
22,1515913746954162176,1515930726050713600,new,Is it too much to wish an aneurysm on someone?, depends who it is. it might make them clevererer,uk,uk,uk
23,1530330429831712774,1530333137909207045,new,"Ladies, is it unattractive if a man plays video games for a living?", i think as a man i can speak for all woman and say no,n,n,n
24,1415752260479508495,1415790521373446144,old,"Looking at all these recount results I gotta wonder, is it possible to recall a president?"," no, but we can cancel you for spreading misinformation.",n,n,n
25,1527752294716022786,1527768155271049216,new,Do you think cursive writing should still be taught in school?, kids are going to need a google translator to read christmas cards from grandma.,py,py,py
26,1451009236423565312,1451010309901230092,old,Is it just me but if you listen real hard do you hear that “Fancy like” song playing everywhere you go?, i just hear the intro to final countdown when i walk in places,n,n,n
27,1528781032014725123,1528781467744182272,new,do you still super follow me ?, yes always and still believe you're going to bless me one day,y,y,y
28,1415752260479508495,1415753755686064130,old,"Looking at all these recount results I gotta wonder, is it possible to recall a president?", i don't think there is anything in the constitution to allow that.,n,n,n
29,1509576610919313410,1509808955496697859,new,Is it foolish to assume that people are always rational?, amateur behaviour often makes a rational consumer take irrational decisions.,py,n,n
30,1507066176920162304,1507136493709455365,new,is it legal to drive with ur titties out?," seems to be perfectly fine for moobs, controversy on tiddies",pn,uk,uk
31,1472909639650004992,1472911367065636867,old,I'm thirsty. Is it too early for a work meeting?," whatever you do, do it caerphilly!",uk,n,uk
32,1532019243025420289,1532024424291094529,new,Question. Is it ever acceptable to use the phrase PLATTY JOOBS?, sounds like a reference to someone's silver bush. 😅,n,uk,uk
33,1533518089362591744,1533519053549195271,new,"Broke people: ""But does it make you happy?", i'd rather be rich and sad 🤷,uk,uk,uk
34,1509576610919313410,1509729146561204230,new,Is it foolish to assume that people are always rational?," don't know about foolish, perhaps irrational 😃",uk,py,uk
35,1506565419313868802,1506567027204448256,new,"My name regularly gets autocorrected to ""Satanism"". Get a surprising number of messages addressed to it. Do you have an autocorrect hell?", i have an elderly aunt shirley who regularly autocorrects to “shitshow”.,y,y,y
36,1507066176920162304,1507068948239589385,new,is it legal to drive with ur titties out?, such a real genuine question that i must kneo w,uk,uk,uk
37,1500540062915825665,1500614466743902214,new,Is it reassuring to know there are twats everywhere!?, yep everywhere just don't let them get in your skin.  lol,y,y,y
38,1531417724584353793,1531420054415368192,new,Do you believe we are living in the Biblical end times?, technically the last days began upon the arrival of the holy spirit,y,n,n
39,1527140962098499584,1527145921737367552,new,Do you become more powerful the more tabs you have open?, yes…if your tabs are running chrome extensions that are scrapping the web.,y,y,y
40,1504660086853189632,1504660451669463041,new,Probably going to sleep soon. Do you guys ever feel like going to sleep?," i don’t want to freak you out, but it kinda depends on the day.",uk,uk,uk
41,1397076480824418310,1397077066210680833,old,...Do you die a lot in dark souls?, its not a problem if you are a god gamer like miko b),pn,pn,pn
42,1524980408638705703,1524982010669780992,new,I believe … do you ?, i’ll be there loud and making sure the place is rocking,uk,uk,uk
43,1529620582026862592,1529621190842753025,new,Do you think student loans should be forgiven?," yes, as long i can get one year without being taxed",pn,y,n
44,1508968628191838209,1509005245262794757,new,Is it so hard to just be friendly?, time to write a new song that will capture us and inspire,uk,uk,uk
45,1523762230415835139,1524022910159052800,new,"“I am able to succeed in anything that I decide to do.” This is the absolute truth, but the point is, do YOU believe it?", yes i do believe and can feel angels,y,y,y
46,1405289153571426304,1405367025535533058,old,"If a doge barks on the moon and no one is around to hear it, does it make a sound?", doge is someone so there will always be someone hearing it,y,y,y
47,1518841104149487616,1518943367366955010,new,Do you consider it acceptable for white people to say “white lives matter?, people can say whatever the feck they want,y,y,y
48,1518841104149487616,1518845087882620928,new,Do you consider it acceptable for white people to say “white lives matter?, it should have been every human alice matters from the beginning,y,y,y
49,1416521845050773505,1416530043824652290,old,Do you guys believe in ghosts?, no i don't believe in anything like that. still scary tho..,n,n,n
50,1500540062915825665,1500541314869481473,new,Is it reassuring to know there are twats everywhere!?, you know they are there. i try to avoid but hard sometimes.,y,y,y
51,1471504505954918415,1471540200782319616,old,Do you believe a biological male athlete should be able to compete in women’s sports if he decides to change his gender to a woman?, no. there should be separate sports for all trans people. separate from others.,n,n,n
52,1402939403920560129,1402944741109473280,old,My boss was surprised I can drive a manual. Is it that unusual for females to be able to drive manuals?, anyone who was born before 1972 learned to drive on a manual.,pn,n,n
53,1471504505954918415,1471504813762310154,old,Do you believe a biological male athlete should be able to compete in women’s sports if he decides to change his gender to a woman?, i wanted to answer fuck no but it wasn’t an option 🤷🏼‍♂️,n,n,n
54,1397076480824418310,1397077551386963971,old,...Do you die a lot in dark souls?, if you beat the tutorial boss i'll be shocked.,y,uk,y
55,1451009236423565312,1451253274493915154,old,Is it just me but if you listen real hard do you hear that “Fancy like” song playing everywhere you go?, i hear it and i hate it.,n,y,n
56,1519855268414246913,1519855590247391233,new,Do you guys think money buys happiness?, at the least it buys the ability to seek it,py,py,py
57,1404486253907787780,1404503224313335818,old,"This is never going to end is it, there’s always going to be a reason?", the azkaban variant will be discovered before july 19th!,n,y,y
58,1450330006320730116,1450331525875003392,old,Is it weird I want someone to spank me rn?, only if you want them to call you a family members name,py,py,py
59,1532019243025420289,1532109643400589312,new,Question. Is it ever acceptable to use the phrase PLATTY JOOBS?, i couldn’t even get google to translate. roll on monday,uk,uk,uk
60,1497519871462363142,1497641448988037128,new,Do you have the courage to be disliked?, i can bet 77% people who voted yeah doesn't have much courage to be disliked,pn,py,pn
