,gold
0,uk
1,uk
2,n
3,y
4,y
5,uk
6,uk
7,y
8,y
9,y
10,uk
11,n
12,uk
13,n
14,n
15,n
16,n
17,n
18,py
19,y
20,n
21,n
22,n
23,n
24,uk
25,n
26,n
27,n
28,n
29,y
30,uk
31,n
32,y
33,y
34,y
35,uk
36,n
37,y
38,y
39,py
40,uk
41,y
42,n
43,n
44,n
45,y
46,n
47,n
48,y
49,y
50,n
51,y
52,uk
53,n
54,y
55,n
56,n
57,y
58,n
59,uk
60,y
61,y
62,y
63,y
64,uk
65,n
66,n
67,y
68,y
69,y
70,y
71,uk
72,n
73,y
74,uk
75,y
76,n
77,y
78,uk
79,uk
80,y
81,y
82,uk
83,n
84,uk
85,n
86,y
87,n
88,y
89,y
90,y
91,uk
92,y
93,y
94,uk
95,uk
96,n
97,y
98,y
99,uk
100,y
101,y
102,uk
103,uk
104,n
105,n
106,y
107,uk
108,n
109,pn
110,n
111,uk
112,uk
113,uk
114,uk
115,n
116,n
117,uk
118,uk
119,n
120,n
121,uk
122,uk
123,y
124,y
125,uk
126,n
127,py
128,y
129,n
130,n
131,y
132,n
133,y
134,uk
135,n
136,uk
137,n
138,uk
139,n
140,y
141,y
142,uk
143,y
144,y
145,y
146,uk
147,uk
148,uk
149,n
150,n
151,n
152,y
153,y
154,n
155,uk
156,uk
157,py
158,uk
159,uk
160,uk
161,y
162,py
163,y
164,y
165,n
166,py
167,uk
168,y
169,n
170,n
171,y
172,uk
173,uk
174,y
175,uk
176,n
177,y
178,y
179,y
180,uk
181,n
182,n
183,uk
184,y
185,py
186,n
187,n
188,py
189,y
190,py
191,n
192,n
193,py
194,n
195,n
196,n
197,y
198,n
199,n
200,y
201,y
202,uk
203,uk
204,n
205,py
206,uk
207,uk
208,y
209,uk
210,n
211,uk
212,n
213,n
214,n
215,uk
216,uk
217,n
218,uk
219,uk
220,y
221,y
222,y
223,n
224,y
225,uk
226,py
227,y
228,y
229,py
230,uk
231,y
232,y
233,uk
234,n
235,uk
236,uk
237,y
238,uk
239,uk
240,y
241,n
242,n
243,n
244,y
245,y
246,uk
247,y
248,n
249,y
250,n
251,uk
252,n
253,y
254,y
255,pn
256,n
257,uk
258,uk
259,n
260,uk
261,y
262,uk
263,y
264,n
265,y
266,uk
267,uk
268,y
269,n
270,uk
271,uk
272,n
273,y
274,y
275,uk
276,uk
277,n
278,y
279,uk
280,uk
281,y
282,uk
283,n
284,y
285,y
286,y
287,uk
288,y
289,uk
290,y
291,n
292,n
293,uk
294,y
295,y
296,uk
297,uk
298,y
299,y
300,y
301,y
302,y
303,uk
304,y
305,uk
306,y
307,y
308,y
309,uk
310,y
311,uk
312,uk
313,y
314,y
315,uk
316,n
317,uk
318,y
319,n
320,n
321,y
322,y
323,n
324,n
325,uk
326,uk
327,uk
328,uk
329,y
330,uk
331,n
332,y
333,n
334,n
335,n
336,n
337,uk
338,uk
339,y
340,y
341,n
342,n
343,uk
344,uk
345,uk
346,n
347,n
348,y
349,n
350,uk
351,uk
352,n
353,y
354,y
355,uk
356,n
357,y
358,n
359,y
360,n
361,n
362,y
363,y
364,uk
365,y
366,uk
367,y
368,y
369,n
370,uk
371,n
372,uk
373,n
374,y
375,n
376,y
377,uk
378,py
379,n
380,y
381,n
382,n
383,n
384,n
385,n
386,n
387,uk
388,y
389,uk
390,y
391,y
392,py
393,y
394,y
395,n
396,n
397,py
398,n
399,n
400,uk
401,uk
402,n
403,y
404,uk
405,n
406,y
407,n
408,uk
409,n
410,y
411,y
412,uk
413,y
414,n
415,y
416,uk
417,uk
418,y
419,n
420,uk
421,n
422,uk
423,uk
424,uk
425,y
426,y
427,uk
428,n
429,py
430,pn
431,n
432,uk
433,n
434,py
435,uk
436,y
437,y
438,py
439,uk
440,n
441,y
442,y
443,uk
444,y
445,y
446,y
447,y
448,y
449,py
450,uk
451,uk
452,n
453,y
454,y
455,y
456,y
457,y
458,uk
459,y
460,y
461,n
462,y
463,uk
464,y
465,uk
466,y
467,y
468,n
469,y
470,n
471,uk
472,uk
473,uk
474,uk
475,y
476,y
477,y
478,n
479,n
480,y
481,y
482,uk
483,y
484,uk
485,y
486,uk
487,uk
488,y
489,y
490,n
491,y
492,y
493,y
494,y
495,y
496,uk
497,y
498,n
499,y
500,uk
501,n
502,py
503,n
504,y
505,n
506,uk
507,uk
508,y
509,uk
510,uk
511,n
512,n
513,y
514,n
515,uk
516,n
517,n
518,uk
519,n
520,y
521,y
522,n
523,y
524,n
525,y
526,n
