,predict,Main_Tweet_ID,Reply_id
0,n,1415407487528939522,1415568228261109764
1,y,1506565419313868802,1506582292986273797
2,n,1402679421832630278,1402691499519668224
3,n,1498957736117211141,1498967702756638720
4,n,1450917556957687814,1450925938892427268
5,y,1524059496733024256,1524059745111273473
6,y,1450429884443004938,1450483617038315522
7,uk,1388016093432745987,1388242195421925377
8,y,1523095596587909120,1523260745936343040
9,y,1519855268414246913,1519863623090249729
10,y,1438208002742530049,1438208551021912074
11,n,1445069355310587908,1445069527725879304
12,y,1513014027404087298,1513019023092592648
13,pn,1494922774112051201,1495142129957539847
14,n,1443855218819538946,1443855419546300421
15,y,1524695363856191489,1527726630315114497
16,y,1496258773568176129,1496267225342394377
17,uk,1494216517164351491,1494235578346672128
18,n,1513384448359731202,1513388058950844417
19,uk,1513977866748317696,1514049085686403077
20,y,1406740598237847556,1406744211932778501
21,n,1417232972835602432,1417349621978910745
22,pn,1439457970128052227,1439485514164342786
23,y,1405294395239317505,1405296883275292672
24,n,1381730321004175361,1381982218889822217
25,n,1508792874569244674,1508876022044889090
26,n,1506834667936391173,1506836781970436096
27,uk,1494724608313933829,1494725303385858050
28,n,1395126197714030594,1395419115318398983
29,y,1501594196997808130,1501783660474732545
30,y,1503787818929123331,1503788831643897860
31,n,1522910344838008833,1522984254245945345
32,y,1410954384507244556,1411198827806158853
33,n,1509322461187301377,1509391862116851713
34,uk,1507066176920162304,1507066519259394051
35,y,1385243074096291841,1385274613958127618
36,n,1425641096370032650,1425678724284882952
37,n,1445196347829735428,1445248470848262148
38,y,1515913746954162176,1515915552908525568
39,pn,1456387014459211801,1456387404672143368
40,y,1446136959697670145,1446142018955141121
41,y,1450239772538990594,1450240785966776323
42,y,1450917556957687814,1450918523593764883
43,y,1509576610919313410,1509789291357958148
44,n,1518201450832220160,1518226562398707718
45,y,1526563164481019904,1526565914837037058
46,n,1394479427271135233,1394660810706796548
47,n,1522910344838008833,1522916131065016321
48,y,1411776697683357700,1411815527245389835
49,y,1519075768277606403,1519076719214297088
50,y,1531417724584353793,1531694780253626371
51,n,1461624625922719745,1461629366698496001
52,y,1532024495308939265,1532025163902066688
53,y,1381983703841267717,1382118010740170753
54,py,1472458918039224324,1472614176891838473
55,y,1508729666495938566,1508750483846221824
56,y,1524897301336031233,1524905310053273601
57,n,1530429138099752963,1530431903798546432
58,y,1517162745245749248,1517163292220788737
59,y,1531337262595727366,1531352848625197057
60,y,1518617602330963969,1518777024608825344
61,y,1407141470876938243,1407142692883206144
62,y,1394707604186746881,1394708813022904323
63,y,1524980408638705703,1524983553330597888
64,y,1393577066193473536,1393578242532024328
65,pn,1413280281809719299,1413434116893151234
66,n,1519074444593053696,1519075586433503232
67,n,1460428549697986563,1460602002317078528
68,n,1518480805961646080,1518547063864184832
69,y,1526955016740868098,1526956061948641282
70,y,1443291550138707978,1443292268115410950
71,y,1495784385047666689,1495797368272441345
72,y,1470219766782693376,1470221661718913031
73,n,1531790432560107520,1531798267708592130
74,y,1451488598012928000,1456670345373626371
75,y,1388697772862459904,1388818748631621634
76,y,1531305341563985920,1531306452119433216
77,y,1519482185459273733,1519484007289069568
78,n,1498732622847135744,1498736445187575811
79,n,1382015356521357312,1382015746683904009
80,py,1414969157385392132,1415022777334124546
81,n,1503299224737398785,1503319738604216328
82,n,1402787769395548160,1402788738716078081
83,py,1404133822300622853,1404134111967551491
84,n,1533489423370928128,1533494437162139649
85,y,1472388423373791240,1472404091309494279
86,y,1454876080154677249,1454998471983964161
87,n,1519855268414246913,1519855389763936257
88,n,1440938644873879552,1440940141049225216
89,n,1399650555773980677,1417767877080489984
