,gold
0,y
1,y
2,y
3,y
4,y
5,y
6,y
7,y
8,y
9,y
10,y
11,y
12,y
13,y
14,y
15,y
16,y
17,y
18,y
19,y
20,y
21,n
22,y
23,y
24,y
25,y
26,y
27,y
28,y
29,y
30,n
31,n
32,y
33,y
34,y
35,y
36,y
37,y
38,y
39,n
40,y
41,y
42,n
43,n
44,y
45,n
46,y
47,y
48,n
49,y
50,n
51,n
52,y
53,y
54,y
55,y
56,y
57,y
58,y
59,y
60,y
61,y
62,y
63,y
64,y
65,n
66,y
67,y
68,y
69,y
70,y
71,n
72,y
73,y
74,y
75,y
76,n
77,y
78,y
79,y
80,y
81,y
82,y
83,y
84,y
85,y
86,y
87,y
88,n
89,y
90,y
91,y
92,y
93,y
94,y
95,y
96,y
97,y
98,y
99,y
100,n
101,y
102,y
103,y
104,y
105,n
106,y
107,y
108,y
109,y
110,y
111,y
112,n
113,y
114,y
115,y
116,y
117,y
118,y
119,y
120,n
121,y
122,y
123,y
124,y
125,y
126,y
127,y
128,y
129,y
130,y
131,y
132,y
133,y
134,y
135,n
136,y
137,y
138,y
139,n
140,y
141,y
142,y
143,y
144,y
145,n
146,n
147,n
148,y
149,n
150,y
151,y
152,y
153,y
154,n
155,y
156,y
157,y
158,y
159,y
160,y
161,y
162,y
163,y
164,y
165,y
166,n
167,y
168,y
169,y
170,y
171,y
172,y
173,y
174,y
175,y
176,y
177,y
178,n
179,y
180,n
181,y
182,y
183,y
184,y
185,y
186,y
187,y
188,y
189,n
190,n
191,y
192,n
193,y
194,y
195,y
196,y
197,y
198,y
199,y
200,y
201,y
202,y
203,y
204,y
205,n
206,n
207,y
208,y
209,y
210,y
211,y
212,y
213,y
214,y
215,y
216,y
217,y
218,y
219,y
220,y
221,y
222,y
223,y
224,y
225,y
226,n
227,y
228,y
229,y
230,y
231,y
232,y
233,y
234,y
235,y
236,y
237,n
238,y
239,y
240,n
241,y
242,y
243,y
244,y
245,y
246,y
247,y
248,y
249,n
250,y
251,y
252,y
253,y
254,y
255,y
256,y
257,y
258,y
259,y
260,y
261,y
262,y
263,y
264,y
265,y
266,n
267,n
268,y
269,y
270,y
271,y
272,y
273,n
274,y
275,y
276,y
277,y
278,y
279,n
280,y
281,y
282,y
283,y
284,y
285,y
286,y
287,y
288,y
289,y
290,y
291,y
292,y
293,n
294,n
295,y
296,y
297,y
298,y
299,y
300,y
301,y
302,y
303,y
304,n
305,y
306,y
307,y
308,n
309,y
310,y
311,y
312,n
313,y
314,y
315,y
316,y
317,y
318,y
319,y
320,y
321,y
322,y
323,y
324,y
325,y
326,y
327,y
328,n
329,y
330,y
331,y
332,y
333,y
334,n
335,n
336,y
337,y
338,y
339,y
340,y
341,n
342,y
343,n
344,y
345,y
346,n
347,n
348,n
349,y
350,y
351,y
352,y
353,y
354,y
355,y
356,y
357,y
358,y
359,y
360,y
361,y
362,y
363,n
364,y
365,y
366,y
367,n
368,y
369,y
370,y
371,y
372,y
373,y
374,y
375,y
376,y
377,n
378,y
379,y
380,y
381,y
382,n
383,y
384,y
385,y
386,y
387,y
388,y
389,y
390,y
391,y
392,y
393,n
394,y
395,y
396,y
397,y
398,y
399,y
400,y
401,y
402,y
403,y
404,y
405,n
406,y
407,n
408,y
409,y
410,n
411,y
412,y
413,y
414,y
415,y
416,y
417,n
418,y
419,y
420,n
421,y
422,y
423,y
424,y
425,n
426,y
427,y
428,y
429,n
430,y
431,y
432,y
433,y
434,y
435,y
436,y
437,y
438,y
439,y
440,y
441,n
442,y
443,y
444,y
445,y
446,y
447,y
448,y
449,y
450,n
451,y
452,y
453,y
454,y
455,y
456,y
457,y
458,y
459,y
460,y
461,n
462,y
463,y
464,y
465,y
466,y
467,y
468,y
469,y
470,y
471,n
472,y
473,y
474,y
475,y
476,n
477,y
478,n
479,y
480,y
481,n
482,y
483,n
484,y
485,n
486,y
487,y
488,y
489,y
490,y
491,y
492,y
493,y
494,y
495,y
496,y
497,y
498,y
499,y
500,y
501,y
502,y
503,y
504,y
505,n
506,y
507,y
508,n
509,y
510,n
511,y
512,y
513,y
514,y
515,y
516,n
517,y
518,y
519,y
520,y
521,y
522,y
523,y
524,y
525,y
526,y
527,y
528,n
529,y
530,y
531,y
532,y
533,y
534,y
535,y
536,n
537,y
538,y
539,n
540,y
541,y
542,y
543,n
544,y
545,y
546,y
547,y
548,y
549,n
550,y
551,y
552,y
553,y
554,y
555,y
556,y
557,y
558,y
559,y
560,y
561,y
562,n
563,y
564,y
565,y
566,y
567,y
568,y
569,n
570,y
571,y
572,y
573,y
574,y
575,y
576,y
577,y
578,y
579,y
580,n
581,y
582,y
583,y
584,n
585,y
586,y
587,y
588,y
589,y
590,y
591,y
592,y
593,n
594,y
595,y
596,y
597,y
598,n
599,y
