,gold
0,n
1,n
2,n
3,n
4,n
5,n
6,y
7,n
8,y
9,y
10,y
11,n
12,n
13,n
14,n
15,n
16,n
17,y
18,n
19,n
20,y
21,n
22,n
23,y
24,n
25,n
26,n
27,n
28,y
29,y
30,y
31,n
32,y
33,n
34,uk
35,y
36,n
37,n
38,y
39,n
40,y
41,n
42,y
43,y
44,n
45,y
46,n
47,n
48,n
49,n
50,y
51,y
52,uk
53,y
54,py
55,y
56,y
57,y
58,y
59,y
60,y
61,n
62,y
63,y
64,n
65,n
66,n
67,n
68,n
69,py
70,y
71,y
72,py
73,n
74,y
75,y
76,y
77,n
78,n
79,n
80,py
81,n
82,n
83,py
84,n
85,y
86,n
87,n
88,n
89,n
90,y
91,n
92,n
93,n
94,y
95,y
96,uk
97,n
98,n
99,y
100,y
101,py
102,uk
103,py
104,y
105,n
106,y
107,n
108,y
109,y
110,y
111,y
112,y
113,n
114,n
115,y
116,n
117,y
118,n
119,py
120,n
121,py
122,y
123,n
124,py
125,y
126,y
127,n
128,n
129,y
130,n
131,n
132,y
133,n
134,y
135,n
136,uk
137,y
138,y
139,y
140,y
141,n
142,n
143,y
144,uk
145,n
146,y
147,y
148,n
149,y
150,y
151,y
152,n
153,y
154,y
155,py
156,n
157,y
158,n
159,n
160,n
161,n
162,uk
163,y
164,uk
165,y
166,n
167,n
168,n
169,y
170,y
171,y
172,n
173,y
174,n
175,n
176,n
177,n
178,n
179,n
180,n
181,n
182,n
183,n
184,py
185,n
186,n
187,y
188,y
189,y
190,y
191,py
192,uk
193,n
194,n
195,n
196,y
197,y
198,n
199,py
200,n
201,y
202,n
203,y
204,y
205,y
206,n
207,n
208,n
209,y
210,y
211,py
212,py
213,n
214,n
215,y
216,y
217,n
218,uk
219,y
220,y
221,n
222,y
223,n
224,y
225,y
226,n
227,n
228,n
229,n
230,y
231,y
232,n
233,n
234,n
235,uk
236,y
237,n
238,n
239,y
240,n
241,y
242,n
243,uk
244,y
245,uk
246,n
247,y
248,py
249,y
250,y
251,n
252,n
253,n
254,uk
255,y
256,n
257,y
258,y
259,y
260,y
261,y
262,n
263,uk
264,n
265,n
266,n
267,n
268,n
269,n
270,y
271,y
272,y
273,y
274,n
275,y
276,uk
277,n
278,n
279,py
280,n
281,y
282,y
283,n
284,y
285,n
286,y
287,uk
288,y
289,n
290,y
291,y
292,y
293,py
294,y
295,y
296,n
297,n
298,py
299,y
300,y
301,y
302,uk
303,uk
304,n
305,n
306,y
307,n
308,y
309,py
310,y
311,py
312,uk
313,y
314,n
315,y
316,n
317,y
318,n
319,py
320,y
321,n
322,y
323,y
324,y
325,n
326,y
327,n
328,py
329,n
330,py
331,n
332,y
333,uk
334,n
335,y
336,n
337,n
338,n
339,uk
340,n
341,n
342,y
343,uk
344,y
345,y
346,n
347,uk
348,y
349,n
350,y
351,y
352,y
353,y
354,n
355,y
356,y
357,y
358,y
359,y
360,py
361,n
362,y
363,n
364,n
365,y
366,uk
367,y
368,uk
369,n
370,y
371,n
372,n
373,uk
374,n
375,y
376,y
377,n
378,y
379,n
380,y
381,y
382,n
383,n
384,y
385,n
386,n
387,n
388,n
389,y
390,n
391,n
392,y
393,y
394,n
395,n
396,uk
397,n
398,y
399,n
400,y
401,n
402,y
403,y
404,n
405,n
406,y
407,y
408,n
409,y
410,n
411,uk
412,y
413,y
414,y
415,y
416,uk
417,uk
418,n
419,n
420,n
421,py
422,py
423,y
424,n
425,py
426,y
427,n
428,n
429,n
430,n
431,py
432,y
433,y
434,n
435,uk
436,y
437,n
438,n
439,n
440,n
441,n
442,n
443,uk
444,n
445,n
446,n
447,n
448,n
449,y
450,uk
451,y
452,y
453,n
454,n
455,n
456,n
457,y
458,n
459,n
460,n
461,n
462,uk
463,n
464,n
465,n
466,y
467,n
468,n
469,y
470,y
471,n
472,n
473,y
474,py
475,y
476,n
477,n
478,y
479,y
480,py
481,n
482,n
483,n
484,n
485,y
486,y
487,y
488,n
489,n
490,y
491,n
492,n
493,y
494,n
495,y
496,n
497,uk
498,n
499,y
500,n
501,y
502,y
503,n
504,y
505,n
506,py
507,py
508,y
509,n
510,n
511,uk
512,n
513,n
514,n
515,n
516,uk
517,n
518,y
519,y
520,n
521,y
522,uk
523,n
524,y
525,n
526,n
527,py
528,n
529,n
530,py
531,n
532,n
533,n
534,py
535,n
536,y
537,y
538,py
539,py
540,y
541,y
542,uk
543,n
544,y
545,n
546,n
547,n
548,n
549,y
550,y
551,y
552,y
553,y
554,n
555,uk
556,y
557,n
558,py
559,uk
560,y
561,y
562,uk
563,y
564,y
565,n
566,n
567,uk
568,n
569,y
570,y
571,y
572,n
573,y
574,n
575,n
576,n
577,n
578,n
579,uk
580,y
581,n
582,y
583,py
584,n
585,n
586,y
587,n
588,y
589,n
590,n
591,n
592,n
593,n
594,uk
595,uk
596,uk
597,n
598,n
599,py
