,gold
0,n
1,y
2,y
3,n
4,n
5,uk
6,y
7,uk
8,y
9,y
10,y
11,n
12,y
13,uk
14,uk
15,n
16,y
17,uk
18,n
19,n
20,y
21,n
22,n
23,y
24,y
25,n
26,n
27,n
28,n
29,y
30,y
31,n
32,y
33,uk
34,uk
35,y
36,n
37,n
38,y
39,n
40,y
41,y
42,y
43,y
44,n
45,y
46,n
47,n
48,y
49,y
50,y
51,y
52,y
53,y
54,y
55,y
56,y
57,uk
58,y
59,y
60,y
61,n
62,n
63,y
64,n
65,n
66,n
67,n
68,n
69,y
70,y
71,y
72,y
73,uk
74,y
75,y
76,y
77,y
78,n
79,uk
80,n
81,n
82,n
83,y
84,y
85,y
86,n
87,n
88,y
89,n
90,y
91,n
92,y
93,n
94,y
95,y
96,y
97,n
98,uk
99,uk
100,y
101,n
102,y
103,y
104,y
105,uk
106,y
107,y
108,y
109,y
110,n
111,y
112,y
113,y
114,n
115,y
116,n
117,y
118,n
119,y
120,uk
121,y
122,y
123,y
124,n
125,y
126,y
127,y
128,y
129,y
130,uk
131,y
132,y
133,y
134,uk
135,n
136,y
137,y
138,y
139,y
140,uk
141,uk
142,n
143,y
144,n
145,n
146,y
147,uk
148,y
149,y
150,n
151,y
152,n
153,y
154,y
155,y
156,uk
157,y
158,n
159,uk
160,n
161,n
162,y
163,y
164,uk
165,y
166,n
167,n
168,uk
169,uk
170,uk
171,y
172,n
173,y
174,uk
175,n
176,n
177,n
178,n
179,y
180,n
181,n
182,n
183,n
184,y
185,y
186,n
187,uk
188,y
189,y
190,n
191,y
192,uk
193,uk
194,n
195,n
196,y
197,y
198,y
199,n
200,n
201,y
202,n
203,y
204,y
205,y
206,y
207,n
208,n
209,y
210,y
211,n
212,y
213,n
214,n
215,y
216,y
217,n
218,uk
219,y
220,y
221,y
222,y
223,uk
224,y
225,y
226,n
227,n
228,n
229,n
230,y
231,uk
232,uk
233,y
234,n
235,y
236,y
237,n
238,n
239,y
240,uk
241,y
242,n
243,y
244,y
245,uk
246,y
247,y
248,y
249,y
250,y
251,n
252,n
253,y
254,uk
255,y
256,n
257,y
258,y
259,uk
260,y
261,y
262,n
263,uk
264,n
265,n
266,uk
267,n
268,y
269,uk
270,uk
271,y
272,y
273,y
274,n
275,y
276,uk
277,n
278,n
279,y
280,y
281,y
282,y
283,n
284,uk
285,y
286,uk
287,uk
288,y
289,y
290,y
291,y
292,y
293,y
294,y
295,y
296,y
297,uk
298,uk
299,uk
300,y
301,y
302,uk
303,uk
304,n
305,n
306,y
307,n
308,y
309,y
310,y
311,y
312,uk
313,y
314,uk
315,y
316,n
317,y
318,uk
319,n
320,y
321,y
322,y
323,n
324,y
325,y
326,y
327,n
328,y
329,n
330,y
331,uk
332,y
333,uk
334,n
335,y
336,n
337,n
338,y
339,n
340,n
341,uk
342,y
343,n
344,y
345,y
346,n
347,y
348,y
349,n
350,y
351,y
352,y
353,y
354,n
355,y
356,n
357,y
358,y
359,n
360,y
361,n
362,y
363,y
364,n
365,y
366,uk
367,y
368,y
369,y
370,y
371,n
372,n
373,y
374,y
375,y
376,y
377,uk
378,y
379,n
380,y
381,y
382,uk
383,n
384,y
385,n
386,n
387,n
388,n
389,y
390,n
391,n
392,y
393,y
394,uk
395,n
396,uk
397,uk
398,y
399,n
400,y
401,y
402,uk
403,y
404,n
405,y
406,y
407,n
408,n
409,y
410,n
411,uk
412,y
413,y
414,y
415,y
416,uk
417,y
418,y
419,y
420,n
421,n
422,n
423,y
424,y
425,n
426,uk
427,uk
428,n
429,y
430,n
431,n
432,y
433,y
434,y
435,y
436,y
437,n
438,uk
439,y
440,n
441,y
442,n
443,y
444,y
445,y
446,uk
447,y
448,y
449,y
450,y
451,y
452,y
453,n
454,y
455,uk
456,y
457,y
458,n
459,n
460,uk
461,n
462,uk
463,uk
464,n
465,n
466,y
467,n
468,y
469,uk
470,y
471,y
472,n
473,y
474,y
475,n
476,n
477,n
478,y
479,y
480,n
481,y
482,n
483,y
484,y
485,y
486,y
487,y
488,y
489,uk
490,y
491,n
492,n
493,y
494,n
495,y
496,n
497,y
498,y
499,uk
500,n
501,uk
502,y
503,n
504,y
505,y
506,y
507,y
508,y
509,n
510,uk
511,uk
512,n
513,y
514,n
515,n
516,y
517,n
518,y
519,y
520,n
521,y
522,y
523,n
524,y
525,y
526,y
527,y
528,n
529,y
530,uk
531,n
532,n
533,y
534,y
535,uk
536,y
537,y
538,y
539,y
540,y
541,y
542,uk
543,y
544,y
545,n
546,n
547,n
548,n
549,y
550,y
551,y
552,y
553,y
554,n
555,uk
556,y
557,n
558,y
559,uk
560,y
561,y
562,n
563,y
564,y
565,n
566,y
567,uk
568,n
569,y
570,uk
571,y
572,n
573,y
574,n
575,y
576,n
577,uk
578,n
579,n
580,y
581,n
582,y
583,y
584,n
585,n
586,y
587,n
588,y
589,y
590,y
591,y
592,n
593,n
594,n
595,y
596,uk
597,y
598,uk
599,y
