,gold
0,pn
1,y
2,uk
3,y
4,y
5,y
6,y
7,y
8,n
9,y
10,n
11,py
12,py
13,y
14,y
15,n
16,n
17,uk
18,n
19,uk
20,n
21,n
22,uk
23,n
24,py
25,y
26,y
27,y
28,py
29,uk
30,y
31,n
32,y
33,y
34,y
35,y
36,uk
37,n
38,py
39,n
40,uk
41,y
42,n
43,n
44,n
45,n
46,n
47,py
48,y
49,y
50,n
51,y
52,n
53,y
54,uk
55,y
56,n
57,y
58,n
59,n
60,y
61,y
62,y
63,py
64,y
65,n
66,uk
67,n
68,y
69,y
70,y
71,uk
72,y
73,y
74,y
75,n
76,n
77,y
78,n
79,n
80,y
81,n
82,n
83,py
84,y
85,y
86,y
87,uk
88,n
89,py
90,n
91,y
92,y
93,n
94,uk
95,py
96,n
97,y
98,y
99,y
100,y
101,py
102,py
103,uk
104,uk
105,n
106,y
107,y
108,n
109,uk
110,n
111,n
112,n
113,y
114,y
115,y
116,uk
117,y
118,y
119,n
120,n
121,uk
122,y
123,y
124,y
125,y
126,n
127,y
128,y
129,py
130,n
131,y
132,uk
133,y
134,n
135,n
136,y
137,n
138,uk
139,n
140,uk
141,y
142,n
143,y
144,y
145,n
146,n
147,n
148,n
149,n
150,y
151,n
152,y
153,n
154,y
155,n
156,y
157,uk
158,n
159,y
160,uk
161,y
162,uk
163,y
164,y
165,uk
166,n
167,y
168,y
169,n
170,n
171,y
172,n
173,uk
174,n
175,py
176,y
177,n
178,n
179,y
180,n
181,py
182,y
183,y
184,y
185,y
186,y
187,n
188,y
189,y
190,y
191,y
192,n
193,y
194,n
195,y
196,y
197,y
198,y
199,n
200,uk
201,py
202,y
203,y
204,y
205,n
206,n
207,uk
208,n
209,py
210,uk
211,y
212,y
213,uk
214,uk
215,n
216,y
217,y
218,n
219,y
220,n
221,y
222,y
223,py
224,y
225,y
226,py
227,y
228,n
229,n
230,y
231,y
232,n
233,y
234,y
235,y
236,n
237,n
238,n
239,y
240,uk
241,n
242,y
243,y
244,pn
245,y
246,y
247,y
248,n
249,y
250,y
251,y
252,y
253,y
254,y
255,y
256,y
257,y
258,n
259,n
260,y
261,uk
262,uk
263,uk
264,uk
265,y
266,pn
267,y
268,y
269,py
270,y
271,n
272,uk
273,n
274,n
275,n
276,py
277,y
278,y
279,n
280,n
281,n
282,n
283,n
284,y
285,n
286,y
287,n
288,n
289,n
290,y
291,y
292,n
293,n
294,n
295,n
296,y
297,y
298,y
299,n
300,y
301,y
302,n
303,uk
304,n
305,y
306,y
307,y
308,n
309,n
310,py
311,y
312,y
313,uk
314,n
315,y
316,y
317,y
318,y
319,y
320,n
321,n
322,uk
323,uk
324,uk
325,y
326,y
327,y
328,n
329,n
330,n
331,y
332,y
333,y
334,n
335,n
336,y
337,n
338,n
339,y
340,n
341,n
342,y
343,y
344,py
345,uk
346,n
347,n
348,y
349,n
350,n
351,y
352,y
353,y
354,y
355,y
356,n
357,n
358,n
359,y
360,y
361,py
362,n
363,pn
364,y
365,y
366,y
367,n
368,y
369,y
370,uk
371,y
372,y
373,y
374,y
375,n
376,y
377,n
378,y
379,y
380,n
381,y
382,n
383,n
384,y
385,n
386,y
387,py
388,y
389,py
390,py
391,n
392,n
393,n
394,y
395,y
396,y
397,uk
398,y
399,y
400,y
401,y
402,py
403,py
404,y
405,n
406,n
407,n
408,y
409,uk
410,n
411,y
412,y
413,y
414,py
415,y
416,py
417,uk
418,n
419,y
420,y
421,py
422,uk
423,n
424,n
425,n
426,y
427,uk
428,y
429,n
430,y
431,n
432,py
433,uk
434,y
435,uk
436,uk
437,n
438,n
439,n
440,y
441,n
442,n
443,y
444,y
445,y
446,n
447,y
448,n
449,y
450,n
451,n
452,n
453,n
454,n
455,y
456,y
457,y
458,y
459,n
460,y
461,n
462,n
463,n
464,uk
465,y
466,n
467,y
468,n
469,n
470,y
471,n
472,y
473,n
474,y
475,n
476,y
477,n
478,n
479,y
480,n
481,y
482,y
483,uk
484,y
485,uk
486,uk
487,n
488,y
489,y
490,n
491,y
492,py
493,n
494,n
495,y
496,y
497,y
498,uk
499,y
500,n
501,uk
502,y
503,uk
504,y
505,py
506,y
507,y
508,y
509,y
510,n
511,uk
512,n
513,n
514,y
515,n
516,n
517,y
518,py
519,py
520,y
521,n
522,n
523,uk
524,y
525,n
526,n
527,y
528,n
529,n
530,uk
531,n
532,y
533,n
534,uk
535,y
536,n
537,y
538,y
539,n
540,y
541,n
542,pn
543,n
544,uk
545,y
546,uk
547,n
548,n
549,n
550,n
551,y
552,y
553,uk
554,y
555,y
556,py
557,n
558,y
559,n
560,y
561,n
562,n
563,y
564,n
565,py
566,y
567,n
568,y
569,n
570,n
571,py
572,py
573,y
574,y
575,pn
576,y
577,n
578,y
579,y
580,y
581,y
582,y
583,n
584,n
585,n
586,y
587,py
588,y
589,y
590,n
591,y
592,y
593,n
594,n
595,y
596,y
597,y
598,y
599,uk
