,Main_Tweet_ID,Reply_id,temporal_setting,Main_tweet,Reply_tweet,gold_1,gold_2,gold_adj
0,1458728812368338946,1519760003468517378,old,Do you work in coffee?, i often bath in coffee but sadly i don't work in it... ☕️,n,n,n
1,1420595744331894785,1420604479322218501,old,is it illegal to drive with a sheet mask on?, i’m embarrassed to admit how many times i’ve done this on my commute,y,y,y
2,1475559741296418817,1475560260177838084,old,Do you guys hate me?,'s account is temporarily unavailable because it violates the twitter media policy. learn more.,uk,uk,uk
3,1464280871368749057,1464290912524283906,old,Is it big coat weather?, i don't own a big coat :(,n,uk,uk
4,1390871378459463680,1390879778450903041,old,Is it weird that most of my Mother’s Day plans don’t include my child?, i think mother’s day is supposed to be a get out of mommying free day lol,n,n,n
5,1397949757306249223,1399053473208020995,old,do you believe in heaven?, i entered into heaven as a kid and yes it's beautiful,y,y,y
6,1417278951567761408,1417280512809345041,old,is it hard to care for a ball python?," ""doesn't play well with other dogs"" mom...",y,py,n
7,1432436085674622981,1432436817287069704,old,Is it a bad sign if you can feel your brain stem?, it’s probably pretty really you-should-see-a-docter bad,y,y,y
8,1445196347829735428,1445455689606844426,old,Do you think humans are meant to be monogamous?, i think humans are all meant to be different.,n,n,n
9,1450917556957687814,1450939245665923074,old,Do you believe career politicians have any right to exist?, that’s the thing with #freewill.,y,y,y
10,1443243974412570624,1443244326436290566,old,Do you have a podcast?," no, and am getting flack for that. have friends busy inviting me as a guest.",n,n,n
11,1456954520152551424,1457038513577336838,old,Do you think fireworks should be banned after a certain time?, think the oxford mail should be banned they are a virus in themselves,uk,uk,uk
12,1463851004718366721,1466716198419247107,old,Does it get any better?, yes - as a vegetarian with a milk allergy this really doesn't do anything for me.,y,y,y
13,1461308689617403913,1461312769538633737,old,Is it possible that I twisted my ankle while I was sleeping?, i'm five years older and can hurt myself while sitting still so anything is possible.,y,y,y
14,1442943043414364161,1442943288617570307,old,Do you love your job ?," yes yes yes 1000 yes ,it's the best job a person can ever get💫",y,y,y
15,1461773580912369665,1461773941060472833,old,Is it weird to cry with relief during a massage?, 😂😂 no that’s beautiful then u really get to be loose,n,n,n
16,1442994839105064966,1442995246204342273,old,Do you believe in monogamous relationships?, monogamy doesn't seem realistic and it sure as hell doesn't sound as fun,n,n,n
17,1459268626133962756,1459270738590982153,old,Do you ever just remember that we used to chainsmoke cloves?, the film that would coat my mouth 😖,y,y,y
18,1392519214406242305,1392520890072530945,old,Do you support taxpayer cash for illegal aliens?, the dependency on money is going to kill us all.,n,n,n
19,1393499250361839620,1393515691123351555,old,Quick question for atheists only: do you believe in ghosts?," no.
 
though open to proof, unlikely as i think that will be.",n,n,n
20,1410610112679485446,1410610462161457175,old,Do you ever just wanna give up and cry your way out of life?, be optimistic akim. there’s a reason for everything ❤️,uk,uk,uk
21,1449805259409342471,1449808436657639427,old,"If your children end up moving away for college and careers, do you just constantly carry a feeling of missing them around with you forever?", sigh. can’t really say “forever” yet but still,y,py,y
22,1405679777881620481,1405901812285202441,old,Do you think that Dogecoin is the future?," hopefully, the wag walking app folks can make it to #dogepalooza  #dogecoin",y,y,y
23,1411776697683357700,1411792915454648324,old,"Does it tear a hole in the space-time continuum if you take a knee for the ""black national anthem"" ?", i hope they do.  let's see how the other side likes it.,y,y,y
24,1419089031044816900,1419117086736064512,old,do you eat dairy with that milk breath?, are you trying to hit on me bc if so it’s working 👻,uk,y,y
25,1413646946682736653,1413659248861483010,old,I never went to university and I have a question. Is it hard?," parts can be hard depending on learning styles +, but you'll love it!",py,pn,pn
26,1450868272333668352,1450882244432826371,old,do you have your dream job?, my dream is to not have to work,y,y,y
27,1414783164044677121,1414783355430834180,old,Expensive vs cheap vodka: does it matter?, the trick: run cheap vodka through a britta filter,y,uk,y
28,1460299810280333317,1460665143017107463,old,I want pizza. Is it too early for pizza?, never!  their are many great pizza to have in the am!,n,n,n
29,1444109056738828288,1444109169745973252,old,"If I’m playing a game, and I’m not allowed to tweet about it, does it even exist?", it depends of how much u wanna get sued,uk,uk,uk
30,1445969156923351040,1445983757689839616,old,"Doesn't feel so good, does it Cardinals fans?"," they tried, i’ll give them that.  #gododgers #northboundonthe5",n,y,n
31,1402869075366137857,1402891675664584711,old,Do you believe in coincidences?," i think the most honest answer is: ""i don't know""",uk,uk,uk
32,1410847832278552591,1410868005769187335,old,Is it flash crash time yet?, not yet but fuds going on so might be ready,n,n,n
33,1449805259409342471,1449868532762697730,old,"If your children end up moving away for college and careers, do you just constantly carry a feeling of missing them around with you forever?", it's my understanding that you are supposed to buy a condo where they've moved to.,n,y,y
34,1458728812368338946,1459076766417535007,old,Do you work in coffee?," no, but i don’t work without it either.",n,n,n
35,1401225105540272128,1401443222103154689,old,Question. Do you think we'll see the back of Covid during your lifetime?," god willing, covid will become another harmless virus, but it will remain with us.",n,y,y
36,1402603886897242112,1402604089536622594,old,Is it enough?, no either bigger fines or next season a points reduction to start,n,n,n
37,1401353338499727363,1401358758836572160,old,Do you wash your hands after you touch your dog?, yup. just told me 8 year old literally 5 minutes ago to go wash his hands,y,y,y
38,1383457787582111750,1383484671669932038,old,Do you think it’s ethical to invest in the stock market?, yes. companies go public for a myriad of reasons and rely on investments for growth.,y,y,y
39,1382859135562178568,1382944908407840769,old,Sooooo do you like it?," yes
i haven’t listened to it yet but i already know it’ll be good",y,y,y
40,1433544656889995267,1433598990428225536,old,Do you wear your shoes inside your home?, i am an amputee. my shows make it easier to walk.,y,y,y
41,1471687795882307590,1471688502542802953,old,This new kinda analytics Football is driving me crazy! I don’t like it!!! Do you?, chargers would have a comfortable lead if they would of just taken the field goals.,uk,uk,uk
42,1431620267168522244,1431749476671123457,old,Do you ever feel like you haven’t had enough chocolate?, no - i don't like chocolate... popcorn on the other hand...,n,n,n
43,1445196347829735428,1445196539530563586,old,Do you think humans are meant to be monogamous?, most of us would be poly if were really honest with ourselves.,pn,n,n
44,1445840600931004417,1445841264361054208,old,Is it tacky to put Muscle Milk in your coffee?, not if you’re trying to get jacked…,pn,pn,pn
45,1431662975283310596,1431684143436337152,old,"Forget your zodiac sign, do you tip your bartender?", of course! i do want them to return.,y,y,y
46,1470480883903868933,1470482997434540040,old,Is it a dick move if one were to steal all the cashews out of the jar of assorted nuts in the openers backstage?, you'd have to touch all the nuts to do it,y,py,y
47,1424056943270825984,1424069078289944577,old,do you guys drink alcohol in front of your parents hey?," yeah, she always makes sure to include us when she buys for herself",y,y,y
48,1411420537709080579,1411705291310309378,old,IS IT COMING HOME?, nothing hurt more than seeing and not touching..💔.all i wish for now really 😂,uk,pn,pn
49,1411776697683357700,1412195723983167490,old,"Does it tear a hole in the space-time continuum if you take a knee for the ""black national anthem"" ?", talking a knee is too much reverence. give it two middle fingers,y,y,y
