,result
0,n
1,uk
2,uk
3,uk
4,uk
5,y
6,uk
7,uk
8,n
9,y
10,uk
11,uk
12,uk
13,uk
14,uk
15,uk
16,n
17,uk
18,uk
19,uk
20,n
21,n
22,uk
23,uk
24,y
25,n
26,uk
27,uk
28,uk
29,uk
30,uk
31,n
32,uk
33,uk
34,uk
35,uk
36,uk
37,n
38,py
39,y
40,uk
41,y
42,n
43,n
44,uk
45,uk
46,n
47,n
48,uk
49,uk
50,n
51,n
52,n
53,uk
54,uk
55,y
56,uk
57,uk
58,uk
59,n
60,uk
61,uk
62,y
63,uk
64,uk
65,n
66,uk
67,uk
68,uk
69,y
70,y
71,uk
72,uk
73,uk
74,y
75,n
76,pn
77,n
78,uk
79,n
80,uk
81,n
82,uk
83,y
84,n
85,y
86,uk
87,py
88,n
89,n
90,uk
91,y
92,uk
93,n
94,uk
95,y
96,uk
97,y
98,uk
99,uk
100,y
101,uk
102,uk
103,uk
104,uk
105,n
106,y
107,y
108,n
109,uk
110,uk
111,y
112,uk
113,uk
114,uk
115,uk
116,uk
117,py
118,uk
119,n
120,uk
121,uk
122,y
123,uk
124,y
125,n
126,uk
127,uk
128,y
129,n
130,n
131,y
132,uk
133,y
134,y
135,uk
136,n
137,n
138,uk
139,n
140,uk
141,uk
142,n
143,y
144,uk
145,uk
146,uk
147,n
148,uk
149,n
150,uk
151,uk
152,y
153,n
154,y
155,y
156,uk
157,uk
158,uk
159,uk
160,uk
161,uk
162,uk
163,uk
164,uk
165,uk
166,n
167,uk
168,uk
169,uk
170,uk
171,y
172,n
173,uk
174,uk
175,uk
176,y
177,uk
178,n
179,uk
180,n
181,n
182,uk
183,uk
184,y
185,uk
186,y
187,uk
188,uk
189,n
190,uk
191,y
192,uk
193,y
194,uk
195,y
196,uk
197,y
198,uk
199,uk
200,uk
201,uk
202,uk
203,y
204,n
205,uk
206,n
207,n
208,uk
209,y
210,n
211,py
212,y
213,uk
214,uk
215,n
216,uk
217,uk
218,uk
219,uk
220,uk
221,n
222,uk
223,uk
224,uk
225,uk
226,uk
227,n
228,uk
229,n
230,y
231,uk
232,uk
233,uk
234,y
235,y
236,n
237,uk
238,n
239,uk
240,uk
241,n
242,uk
243,uk
244,uk
245,n
246,y
247,uk
248,uk
249,uk
250,y
251,n
252,y
253,y
254,py
255,uk
256,y
257,uk
258,n
259,n
260,uk
261,uk
262,uk
263,y
264,y
265,uk
266,n
267,uk
268,y
269,uk
270,y
271,uk
272,uk
273,uk
274,uk
275,n
276,uk
277,uk
278,n
279,uk
280,uk
281,uk
282,n
283,uk
284,uk
285,n
286,y
287,n
288,uk
289,n
290,n
291,py
292,uk
293,n
294,n
295,uk
296,y
297,y
298,uk
299,n
300,uk
301,uk
302,uk
303,uk
304,n
305,uk
306,y
307,y
308,n
309,uk
310,uk
311,uk
312,n
313,uk
314,n
315,uk
316,uk
317,uk
318,py
319,uk
320,n
321,n
322,uk
323,n
324,uk
325,uk
326,uk
327,uk
328,n
329,uk
330,n
331,y
332,y
333,uk
334,n
335,n
336,uk
337,uk
338,uk
339,y
340,n
341,uk
342,uk
343,uk
344,uk
345,uk
346,n
347,uk
348,uk
349,n
350,n
351,y
352,uk
353,uk
354,y
355,uk
356,uk
357,uk
358,n
359,n
360,y
361,uk
362,uk
363,uk
364,n
365,uk
366,y
367,n
368,n
369,uk
370,uk
371,uk
372,uk
373,uk
374,uk
375,pn
376,uk
377,n
378,y
379,uk
380,n
381,uk
382,n
383,uk
384,uk
385,n
386,n
387,uk
388,uk
389,uk
390,py
391,uk
392,n
393,n
394,uk
395,uk
396,uk
397,uk
398,py
399,n
400,n
401,uk
402,n
403,py
404,y
405,uk
406,uk
407,uk
408,uk
409,uk
410,uk
411,uk
412,uk
413,y
414,uk
415,uk
416,y
417,n
418,uk
419,n
420,n
421,y
422,uk
423,uk
424,py
425,n
426,y
427,uk
428,uk
429,n
430,y
431,uk
432,uk
433,uk
434,n
435,uk
436,uk
437,uk
438,uk
439,n
440,y
441,n
442,uk
443,uk
444,uk
445,uk
446,uk
447,y
448,n
449,uk
450,uk
451,y
452,n
453,uk
454,n
455,y
456,y
457,n
458,uk
459,y
460,uk
461,n
462,uk
463,n
464,uk
465,y
466,uk
467,y
468,pn
469,uk
470,uk
471,uk
472,uk
473,n
474,y
475,uk
476,y
477,n
478,n
479,y
480,n
481,uk
482,uk
483,uk
484,uk
485,uk
486,uk
487,n
488,uk
489,y
490,n
491,uk
492,y
493,uk
494,uk
495,y
496,y
497,y
498,uk
499,y
500,uk
501,uk
502,n
503,uk
504,pn
505,n
506,n
507,y
508,uk
509,y
510,n
511,uk
512,n
513,uk
514,y
515,uk
516,n
517,uk
518,uk
519,uk
520,y
521,n
522,uk
523,n
524,y
525,uk
526,n
527,uk
528,uk
529,uk
530,pn
531,uk
532,uk
533,uk
534,uk
535,uk
536,n
537,uk
538,uk
539,uk
540,y
541,n
542,uk
543,uk
544,uk
545,uk
546,uk
547,uk
548,uk
549,uk
550,uk
551,y
552,y
553,uk
554,uk
555,y
556,uk
557,pn
558,uk
559,n
560,uk
561,uk
562,uk
563,y
564,uk
565,uk
566,y
567,uk
568,uk
569,n
570,uk
571,uk
572,uk
573,n
574,uk
575,n
576,uk
577,uk
578,y
579,uk
580,n
581,y
582,y
583,uk
584,n
585,uk
586,y
587,uk
588,uk
589,y
590,y
591,n
592,y
593,uk
594,uk
595,uk
596,y
597,uk
598,n
599,uk
