,gold
0,uk
1,uk
2,n
3,y
4,y
5,n
6,y
7,y
8,y
9,y
10,y
11,n
12,y
13,n
14,n
15,n
16,y
17,y
18,py
19,uk
20,n
21,n
22,y
23,y
24,n
25,n
26,y
27,py
28,y
29,y
30,y
31,n
32,y
33,py
34,y
35,y
36,y
37,py
38,y
39,uk
40,uk
41,y
42,n
43,n
44,y
45,y
46,n
47,y
48,y
49,py
50,n
51,y
52,n
53,n
54,y
55,n
56,n
57,n
58,uk
59,y
60,y
61,y
62,y
63,y
64,py
65,y
66,y
67,y
68,y
69,y
70,y
71,y
72,y
73,py
74,y
75,y
76,n
77,y
78,y
79,y
80,y
81,y
82,n
83,n
84,uk
85,y
86,y
87,y
88,y
89,y
90,y
91,n
92,y
93,y
94,uk
95,y
96,n
97,y
98,y
99,y
100,n
101,y
102,y
103,y
104,y
105,y
106,y
107,y
108,y
109,n
110,y
111,uk
112,y
113,y
114,uk
115,n
116,n
117,y
118,uk
119,y
120,n
121,y
122,n
123,y
124,y
125,n
126,y
127,py
128,y
129,uk
130,y
131,y
132,y
133,y
134,y
135,n
136,y
137,y
138,n
139,y
140,y
141,y
142,y
143,py
144,y
145,y
146,uk
147,y
148,y
149,n
150,n
151,n
152,y
153,y
154,y
155,y
156,y
157,y
158,y
159,uk
160,y
161,y
162,py
163,y
164,y
165,y
166,py
167,y
168,y
169,n
170,y
171,y
172,py
173,uk
174,y
175,n
176,n
177,y
178,py
179,y
180,y
181,uk
182,n
183,y
184,y
185,py
186,y
187,n
188,y
189,y
190,py
191,n
192,n
193,py
194,n
195,uk
196,n
197,y
198,n
199,y
200,y
201,y
202,n
203,py
204,y
205,y
206,n
207,n
208,y
209,y
210,n
211,y
212,n
213,y
214,n
215,n
216,y
217,n
218,y
219,n
220,y
221,y
222,y
223,y
224,y
225,y
226,y
227,y
228,y
229,py
230,n
231,y
232,y
233,pn
234,y
235,n
236,y
237,y
238,y
239,y
240,y
241,n
242,y
243,y
244,y
245,y
246,y
247,y
248,n
249,y
250,n
251,y
252,y
253,y
254,y
255,py
256,py
257,y
258,y
259,py
260,y
261,y
262,uk
263,y
264,y
265,n
266,y
267,y
268,y
269,n
270,y
271,n
272,y
273,y
274,y
275,y
276,uk
277,n
278,y
279,y
280,uk
281,y
282,y
283,y
284,y
285,y
286,y
287,y
288,y
289,y
290,y
291,y
292,uk
293,y
294,py
295,y
296,y
297,y
298,y
299,y
300,n
301,y
302,y
303,y
304,y
305,y
306,y
307,y
308,y
309,y
310,y
311,y
312,y
313,y
314,y
315,uk
316,uk
317,y
318,y
319,n
320,y
321,y
322,n
323,n
324,y
325,n
326,y
327,y
328,y
329,n
330,y
331,py
332,y
333,n
334,n
335,n
336,y
337,y
338,y
339,y
340,y
341,y
342,n
343,y
344,y
345,n
346,y
347,n
348,y
349,y
350,y
351,y
352,n
353,y
354,py
355,y
356,y
357,y
358,n
359,y
360,n
361,y
362,y
363,uk
364,uk
365,y
366,y
367,y
368,y
369,y
370,y
371,n
372,y
373,n
374,y
375,y
376,y
377,y
378,uk
379,uk
380,y
381,y
382,n
383,n
384,n
385,n
386,y
387,y
388,y
389,y
390,y
391,y
392,py
393,y
394,y
395,n
396,n
397,y
398,y
399,y
400,y
401,y
402,y
403,y
404,y
405,y
406,y
407,y
408,y
409,n
410,y
411,y
412,y
413,y
414,n
415,uk
416,n
417,y
418,y
419,y
420,y
421,n
422,y
423,y
424,n
425,y
426,y
427,y
428,y
429,y
430,py
431,n
432,y
433,y
434,py
435,y
436,y
437,y
438,py
439,uk
440,n
441,y
442,y
443,y
444,y
445,y
446,y
447,y
448,y
449,py
450,y
451,n
452,y
453,y
454,y
455,n
456,y
457,y
458,y
459,y
460,y
461,py
462,y
463,y
464,y
465,n
466,y
467,y
468,y
469,y
470,y
471,n
472,y
473,n
474,uk
475,y
476,y
477,y
478,y
479,n
480,y
481,y
482,y
483,y
484,y
485,y
486,y
487,y
488,y
489,uk
490,n
491,y
492,y
493,y
494,uk
495,py
496,y
497,y
498,y
499,y
500,y
501,py
502,py
503,y
504,n
505,n
506,n
507,y
508,y
509,y
510,py
511,y
512,n
513,y
514,n
515,y
516,uk
517,n
518,y
519,n
520,y
521,y
522,y
523,y
524,y
525,y
526,n
